particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
      Calamity Fund,0,92000,230000,0,0,2011,142,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Miscellaneous Personnel Benefits Fund,0,31446995,30401169,0,0,2011,143,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
      Priority Development Assistance Fund,0,1096982,2506820,0,0,2011,144,0,SOCIAL SERVICES,"Education, Culture and Manpower Development",,,,,,2
             Office of the Secretary,20345660,25238784,32722520,0,0,2011,145,0,SOCIAL SERVICES,Health,,,,,,2
             Commission on Population,438008,274102,298124,0,0,2011,146,0,SOCIAL SERVICES,Health,,,,,,2
             National Nutrition Council,370057,3771534,311047,0,0,2011,147,0,SOCIAL SERVICES,Health,,,,,,2
             Dangerous Drugs Board,138500,179187,165168,0,0,2011,148,0,SOCIAL SERVICES,Health,,,,,,2
             Veterans Memorial Medical Center,746631,713554,848060,0,0,2011,149,0,SOCIAL SERVICES,Health,,,,,,2
             Food and Nutrition Research Institute,98992,104056,141236,0,0,2011,150,0,SOCIAL SERVICES,Health,,,,,,2
             Philippine Council for Health Research and Development,65535,55716,78786,0,0,2011,151,0,SOCIAL SERVICES,Health,,,,,,2
      Lung Center of the Philippines,169583,301560,157560,0,0,2011,152,0,SOCIAL SERVICES,Health,,,,,,2
      National Kidney and Transplant Institute,305164,529050,162800,0,0,2011,153,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Children`s Medical Center,251650,366300,318000,0,0,2011,154,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Heart Center,291915,531050,122000,0,0,2011,155,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Institute of Traditional and Alternative Health Care,40000,40000,37000,0,0,2011,156,0,SOCIAL SERVICES,Health,,,,,,2
      Philippine Health Insurance Corporation,130766,0,0,0,0,2011,157,0,SOCIAL SERVICES,Health,,,,,,2
             Municipal Development Fund,22305,30226,0,0,0,2011,158,0,SOCIAL SERVICES,Health,,,,,,2
             Premium Subsidy for Indigents under the National
                Health Insurance Program,0,5170000,0,0,0,2011,159,0,SOCIAL SERVICES,Health,,,,,,2
      Miscellaneous Personnel Benefits Fund,0,1705851,1649120,0,0,2011,160,0,SOCIAL SERVICES,Health,,,,,,2
      Calamity Fund,0,40000,100000,0,0,2011,161,0,SOCIAL SERVICES,Health,,,,,,2
      Tax Expenditures Fund,0,381420,150000,0,0,2011,162,0,SOCIAL SERVICES,Health,,,,,,2
      Priority Development Assistance Fund,0,597367,1365100,0,0,2011,163,0,SOCIAL SERVICES,Health,,,,,,2
             Public Attorney's Office,927844,880076,1270681,0,0,2011,164,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Commission on the Settlement of Land Problems,23781,21558,0,0,0,2011,165,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Office of the Secretary,2287565,2147893,1993499,0,0,2011,166,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Institute for Labor Studies,24995,20684,21928,0,0,2011,167,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Conciliation and Mediation Board,123622,116255,127772,0,0,2011,168,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Labor Relations Commission,452170,441551,492831,0,0,2011,169,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Wages and Productivity Commission,130220,133960,144817,0,0,2011,170,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Overseas Employment Administration,300507,286812,311355,0,0,2011,171,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Veterans Affairs Office (Proper),301699,313947,13018937,0,0,2011,172,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Office of the Secretary,13840222,15322360,34207874,0,0,2011,173,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Council for the Welfare of Children,22573,21683,23411,0,0,2011,174,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Inter-Country Adoption Board,27045,24482,24977,0,0,2011,175,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Youth Commission,0,73760,63156,0,0,2011,176,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Commission on Filipinos Overseas,45437,46783,50853,0,0,2011,177,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Philippine Commission on Women (National Commission
                on the Role of Filipino Women),83638,65240,111552,0,0,2011,178,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Anti-Poverty Commission,172656,112989,73851,0,0,2011,179,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Presidential Commission for the Urban Poor,131825,63830,63853,0,0,2011,180,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             National Council on Disability Affairs,31570,28948,29308,0,0,2011,181,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
             Municipal Development Fund,77055,104418,0,0,0,2011,182,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Miscellaneous Personnel Benefits Fund,0,593340,573607,0,0,2011,183,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Calamity Fund,0,288000,720000,0,0,2011,184,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Retirement Benefits Fund (Pension and Gratuity Fund),56615954,79964246,35000000,0,0,2011,185,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Contingent Fund,0,61600,77000,0,0,2011,186,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
      Priority Development Assistance Fund,0,2508940,5733420,0,0,2011,187,0,SOCIAL SERVICES,"Social Security, Welfare and Employment",,,,,,2
