Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
                     Zone (formerly ASEZA),"400,000",0,0,0,0,0,0,0,0,0,0,0,"400,000"
               Small Business Corporation,0,"48,064",0,0,0,0,0,0,0,0,0,0,"48,064"
,,,,,,,,,,,,,
          Department of Transportation and Communications,"811,740",0,0,0,0,0,0,0,0,0,0,0,"811,740"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Civil Aviation Authority of the Philippines,"811,740",0,0,0,0,0,0,0,0,0,0,0,"811,740"
,,,,,,,,,,,,,
          Other Executive Offices,"3,152,308",0,0,0,0,0,0,0,0,0,0,0,"3,152,308"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Cagayan Economic Zone Authority,"1,041,290",0,0,0,0,0,0,0,0,0,0,0,"1,041,290"
               North Luzon Railways Corporation,"1,551,018",0,0,0,0,0,0,0,0,0,0,0,"1,551,018"
               Home Guaranty Corporation,"200,000",0,0,0,0,0,0,0,0,0,0,0,"200,000"
               National Housing Authority,"300,000",0,0,0,0,0,0,0,0,0,0,0,"300,000"
               Zamboanga City Special Economic Zone Authority,"60,000",0,0,0,0,0,0,0,0,0,0,0,"60,000"
,,,,,,,,,,,,,
          Net Lending,0,0,0,0,0,0,0,0,0,0,0,"5,064,000","5,064,000"
,,,,,,,,,,,,,
     Allocation to Local Government Units,0,"263,844",0,"106,044","643,561","1,002",0,0,0,"1,882,724",0,0,"2,897,175"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Metropolitan Manila Development Authority,0,0,0,"71,068","82,713",0,0,0,0,0,0,0,"153,781"
          Pasig River Rehabilitation Commission,0,0,0,"34,976","5,689",252,0,0,0,"1,705,628",0,0,"1,746,545"
          Municipal Development Fund,0,"263,844",0,0,"555,159",750,0,0,0,"177,096",0,0,"996,849"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GRAND TOTAL,"4,800,854","627,389","506,921","11,723,151","10,997,394","9,309,847","5,669","4,524,978","9,361,146","168,035,648","868,151","5,064,000","225,825,148"
