month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
June,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
June,04:00 - 04:59,1402,0,2650,0,1972,0,2428,1,109,0,99,52,327,114,0,0,3,0,1,0,1,0,0,1,0,0
June,05:00 - 05:59,105531,8086,45907,11155,25637,3833,56683,18301,3388,3014,5374,13073,29719,28206,13387,16015,26002,18543,5801,16762,11142,32470,18597,24356,50378,38052
June,06:00 - 06:59,222738,34886,94024,45104,43592,16998,68593,62094,8874,13349,17952,38374,65998,75789,36119,39585,65279,48197,13601,46443,29296,90965,47758,74140,131889,101626
June,07:00 - 07:59,261003,53077,88781,71771,34388,31081,62992,82973,13562,29951,27616,65071,87187,111323,50075,58871,87304,56389,19566,78121,35524,124079,64173,101020,192946,118684
June,08:00 - 08:59,232363,53719,79602,69595,35885,29329,72492,91523,13969,36013,26521,91317,86945,137635,46489,56501,85936,57302,15365,78810,30924,130775,58959,98816,186189,123823
June,09:00 - 09:59,184535,63523,69052,53870,39467,24307,81810,94032,14179,36441,22403,84994,82334,126768,38816,50537,81417,52930,16169,50576,32013,132984,52382,69856,160631,122483
June,10:00 - 10:59,135152,66433,55326,44544,34881,21873,83352,86356,13306,28402,20292,62210,69442,103287,34781,37670,69471,49657,18451,33309,31452,100918,42530,45851,130889,120284
June,11:00 - 11:59,132223,70130,54068,39089,33888,18422,90328,87082,13786,19033,23165,55848,72998,93887,33366,32167,65097,50550,19116,26158,35358,100768,40655,37929,129989,117426
June,12:00 - 12:59,122827,75603,54056,41785,33407,19078,92054,93948,14010,16236,25811,53814,75732,92276,33876,34472,65067,54185,20551,26347,41248,88513,41909,37040,129045,123252
June,13:00 - 13:59,112266,73494,50978,42096,30916,20294,90221,95744,13667,16238,27028,52862,74639,83638,34013,36074,63033,51464,19881,29445,46762,77120,40740,36702,131102,124974
June,14:00 - 14:59,94743,81590,46407,45932,30157,21010,88101,102176,15105,15740,32020,46940,76504,80886,35200,34298,58773,52833,24591,24578,52625,70109,44581,31597,127010,126207
June,15:00 - 15:59,84173,94511,48718,51825,30162,22143,86713,111309,17308,13848,38195,42055,85203,77143,37606,32690,58074,58275,31599,17965,68732,60814,50180,27867,133478,127979
June,16:00 - 16:59,91950,114506,60118,62897,36755,26736,92299,128266,21172,13338,47048,40571,97804,83404,43549,36259,64192,68602,41784,16059,90680,64812,72753,28454,151393,146261
June,17:00 - 17:59,106772,156021,75665,91174,50437,36923,104495,155794,30394,13140,63680,43419,107918,96603,52486,43621,65947,79919,64134,17769,113553,71668,110670,32828,170043,168881
June,18:00 - 18:59,109984,178088,68518,101806,39743,38820,109683,166554,26776,12340,71181,43570,111100,100997,52476,49754,59941,84415,63371,20862,126471,73453,109864,36485,173667,187363
June,19:00 - 19:59,114304,175701,55521,103807,31133,37212,99355,166232,21426,11385,57785,39598,101565,99677,45397,54763,54940,85277,49427,23463,124058,68927,89691,36743,159362,178171
June,20:00 - 20:59,104005,150680,41858,97834,23420,34295,82383,149145,18747,9607,41317,34713,86168,92014,36599,56199,47388,73220,32313,24383,115469,55837,71924,31948,124247,143656
June,21:00 - 21:59,85168,106499,28039,72503,13800,25265,58036,112408,8967,6738,32519,22646,68849,69134,26631,38819,37726,58610,19643,19966,104662,39760,42175,24695,85686,107667
June,22:00 - 22:59,3208,75656,1885,47331,1457,16232,6515,62601,1539,3549,9858,6849,19540,26881,10487,14088,15984,20005,9414,6146,37792,14059,17459,9234,25383,42089
June,23:00 - 23:59,9,5890,9,2014,4,618,10,1306,5,42,7,37,10,78,9,49,79,89,27,19,0,5,58,27,0,1
June,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
June,01:00 - 01:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July,04:00 - 04:59,2246,0,3119,0,2612,0,3989,3,146,0,104,1,146,0,0,0,2,0,0,0,1,1,0,0,0,0
July,05:00 - 05:59,116691,9381,48368,11302,27893,4252,61388,19436,3799,3584,6070,15523,32318,29936,14855,17338,28699,21397,6523,19407,12897,43161,20167,25464,58711,42546
July,06:00 - 06:59,252060,39019,111793,49478,50029,18371,80017,68912,10483,15546,20015,43329,75121,82357,40131,43990,79406,55360,14954,52920,35024,115044,51382,78045,149857,115990
July,07:00 - 07:59,310717,59163,99100,76803,43673,34707,71771,93891,16818,35122,31926,74395,100716,126463,57567,69554,101211,68049,22111,95936,45683,165352,74800,112533,228328,141279
July,08:00 - 08:59,283649,63245,94122,79525,44161,34186,81012,106794,17384,44615,30878,107349,99465,157945,53111,67227,99370,67473,17567,97720,40602,172273,69640,109991,221145,140340
July,09:00 - 09:59,208673,71735,77309,61955,46482,28682,89521,107864,16271,43402,25211,98356,90383,145767,43387,59983,89322,62504,17426,63810,39544,168925,57315,81205,180207,140420
July,10:00 - 10:59,146576,66943,61102,47148,39138,23425,91393,94894,15212,31556,22759,66816,76224,114081,37717,41951,74035,55902,19637,39179,36471,120502,45758,50389,140412,127749
