province,position,name,nickname,party_affiliation,votes_obtained
Ilocos Sur,Provincial Board Member,"Zaragoza, Zuriel Singson",Zuriel,Independent,78035
Ilocos Sur,Provincial Board Member,"Bistoyong, Alexander Galangco",Alex,Lakas-Christian Muslim Democrats,74921
Ilocos Sur,Provincial Board Member,"BUnited Oppositionan, Jose Jr. Visque",Pepito,Lakas-Christian Muslim Democrats/Liberal Party,72210
Ilocos Sur,Provincial Board Member,"Europa-Morales, Anna Liza Villanueva",Anne Europa,Lakas-Christian Muslim Democrats-BILEG,66312
Ilocos Sur,Provincial Board Member,"Cordero, Teresita Copiozo",Chita,Lakas-Christian Muslim Democrats,56536
Iloilo,Provincial Governor,"Tupas, Niel Sr Demaulo",Niel,Liberal Party,416593
Iloilo,Provincial Vice-Governor,"Armada, Roberto Buenaflor",Obet,Lakas-Christian Muslim Democrats,296368
Iloilo,Provincial Board Member,"Napulan, Macario N.",-,-,66387
Iloilo,Provincial Board Member,"Silla, Bernardo Jr. Balbastro",Idol,Puwersa ng Masang Pilipino,41104
Iloilo,Provincial Board Member,"Cabado, Rodolfo Valera",Boy,Liberal Party,61716
Iloilo,Provincial Board Member,"Capadosa, Cecilia Hubag",Celia,Liberal Party,55153
Iloilo,Provincial Board Member,"Gallar, Emmanuel Rodriguez",Bombo Manny,Liberal Party,81775
Iloilo,Provincial Board Member,"Tirador, Licurgo Peremne",Curging,Aksyon Demokratiko,67939
Iloilo,Provincial Board Member,"Oso, Domingo Jr. Bedia",Nonong,Liberal Party,63822
Iloilo,Provincial Board Member,"PaLapiang Manggagawaares, Romeo Sustituya",Lipid,Liberal Party,50242
Iloilo,Provincial Board Member,"Tupas, Niel Jr. Causing",Junjun,UGYON PARTY,65647
Iloilo,Provincial Board Member,"Barbosa, Eric Sr Vasques",Ric,Independent,57005
Isabela,Provincial Governor,"Padaca, Maria Gracia Cielo Magno",Grace,Aksyon Demokratiko,242995
Isabela,Provincial Vice-Governor,"Reyes, Ramon Munsayac",Monching,Lakas-Christian Muslim Democrats,187109
Isabela,Provincial Board Member,"Borromeo, Ma Josephine Baggao",Joji Baggao-Borromeo,Nationalist People's Coalition,57839
Isabela,Provincial Board Member,"Bello, Kiryll Santos",Kit,Lakas-Christian Muslim Democrats,54993
Isabela,Provincial Board Member,"Cruz, Jesus Jr. Abarra",Jun,Puwersa ng Masang Pilipino,43861
Isabela,Provincial Board Member,"Go, Ana Cristina Siquian",Ana,Lakas-Christian Muslim Democrats,57902
Isabela,Provincial Board Member,"Purugganan, Cesar Cabal",Sarcee,Nationalist People's Coalition,37723
Isabela,Provincial Board Member,"Mallillin, Bartolome Agonoy",Lome,Puwersa ng Masang Pilipino,41340
Isabela,Provincial Board Member,"Atienza, Ysmael Garcia",Mael,Nationalist People's Coalition,39178
Isabela,Provincial Board Member,"Alejandro, Joel Amos Perez",Dowell,Puwersa ng Masang Pilipino,32202
Isabela,Provincial Board Member,"Alindada, Mathew Joseph Patricio",Matt,Nationalist People's Coalition,40867
