cities,position,name,nickname,party_affiliation,votes_obtained
Argao,Councilor,"Canada, Prudencio Gelaga",Tatay Pruding,Lakas-Kabalikat ng Malayang Pilipino,11844
Argao,Councilor,"Banosong, Joaquin Famat",Aquin,Lakas-Kabalikat ng Malayang Pilipino,12058
Argao,Councilor,"Tecson, Arnold Chiong",Boya,Lakas-Kabalikat ng Malayang Pilipino,12905
Argao,Councilor,"Villacora, Albino Rendon",Alvin,Lakas-Kabalikat ng Malayang Pilipino,12917
Argao,Councilor,"Lucero, Mariglen Navales",Glen,Lakas-Kabalikat ng Malayang Pilipino,15537
Argao,Councilor,"Semilla, Vip Fortich",Choy,Lakas-Kabalikat ng Malayang Pilipino,17247
Argao,Councilor,"Caminero, Guillermo Jr. Sardido",Jun,Lakas-Kabalikat ng Malayang Pilipino,10895
Astruias,Mayor,"Adlawan, Alan Labitad",Boss,Lakas-Kabalikat ng Malayang Pilipino,11369
Astruias,Mayor,"Frasco, Vincent Franco Domingo",Dodong Duke,-,24850
Astruias,Vice-Mayor,"Jordan, Thelma Limpag",Inday Thelma,-,18183
Astruias,Vice-Mayor,"Dumdum, Joel Dacua",Juv,Lakas-Kabalikat ng Malayang Pilipino,9716
Astruias,Councilor,"Pintor, Jose Antonio Trazo",Anto,Lakas-Kabalikat ng Malayang Pilipino,8633
Astruias,Councilor,"Noel, Mark Baulus Seguerra",Paulo,Lakas-Kabalikat ng Malayang Pilipino,8398
Astruias,Councilor,"Toong, Welito Sr. Pilapil",Doy/Lito,Lakas-Kabalikat ng Malayang Pilipino,8112
Astruias,Councilor,"Serognas, Clavel Quipao",Bebie,Lakas-Kabalikat ng Malayang Pilipino,7384
Astruias,Councilor,"Estrella, Constantino Carin",Tanting,Lakas-Kabalikat ng Malayang Pilipino,6904
Astruias,Councilor,"Sasing, Raul Castillano",Raul,Lakas-Christian Muslim Democrats,6881
Astruias,Councilor,"Magbanua, Orlando Noel",Lando,Lakas-Kabalikat ng Malayang Pilipino,8673
Astruias,Councilor,"Canada, Celso Ruta",Manong,Lakas-Kabalikat ng Malayang Pilipino,8956
Astruias,Councilor,"Comendador, Francisco III Canete",Kit,-,15919
Astruias,Councilor,"Pilones, Adrian Ramas",Adi,Barog Alang sa Kauswagan ug Demokrasya,12585
Astruias,Councilor,"Canete, Lurgio Remegia",Pare Lol,-,13048
Astruias,Councilor,"Jumapao, Ferdinand Canete",Cocoy,-,13074
Astruias,Councilor,"Bantilan, Jesse Dem Pasturan",Edem,-,13118
Astruias,Councilor,"Motus, Roberto Benabaye",Bobby,-,14334
Astruias,Councilor,"Cala, Edna Marikit",Edna,-,15242
Astruias,Councilor,"Pilapil, Lucelito Bacatan",Doc Lito,-,18770
Badian,Mayor,"Lumain, Carmencita Librando",Carmen,Lakas-Kabalikat ng Malayang Pilipino,11680
Badian,Mayor,"Suezo, Constancio III Visitacion",Boyet,Lakas-Christian Muslim Democrats,12756
Badian,Vice-Mayor,"Caballero, Fructuoso Antipuesto",Toting,Independent,6846
