region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
VI (Western Visayas),Caticlan,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,-
VI (Western Visayas),Caticlan,G. Aviation,288,244,222,-,-,-,78,-,-,-,-,-,832
VI (Western Visayas),Caticlan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Iloilo (International),Cebu Pacific,5239,3373,4925,5402,5401,4410,-,-,-,-,-,-,28750
VI (Western Visayas),Iloilo,PAL,31123,26945,31607,44728,38384,31565,-,-,-,-,-,-,204352
VI (Western Visayas),Iloilo,Cebu Pacific,92711,88044,92322,10682,105189,86981,-,-,-,-,-,-,475929
VI (Western Visayas),Iloilo,PAL Express,6763,7039,7227,13827,8276,7036,-,-,-,-,-,-,50168
VI (Western Visayas),Iloilo,Zest Air,16312,11490,18246,25472,16596,14179,-,-,-,-,-,-,102295
VI (Western Visayas),Iloilo,Seair,6078,5105,6571,8397,8124,5627,-,-,-,-,-,-,39902
VI (Western Visayas),Iloilo,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Iloilo,G. Aviation,-,-,-,-,335,113,-,-,-,-,-,-,448
VI (Western Visayas),Kalibo (International),PAL,7224,7227,3201,3671,2826,2262,4421,-,-,-,-,-,30832
VI (Western Visayas),Kalibo (International),Air Philippines,9454,9454,7799,3671,8140,7485,8893,-,-,-,-,-,54896
VI (Western Visayas),Kalibo (International),Zest Air,44454,44545,21578,20889,23791,24731,41507,-,-,-,-,-,221495
VI (Western Visayas),Kalibo (International),Jin Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Kalibo (International),Cebu Pacific,17184,17187,11433,10026,11436,12584,18190,-,-,-,-,-,98040
VI (Western Visayas),Kalibo (International),China S. Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Kalibo (International),China M. Air,1509,1509,2485,2441,1680,-,-,-,-,-,-,-,9624
VI (Western Visayas),Kalibo (International),Astro Air,-,-,-,-,667,-,-,-,-,-,-,-,667
VI (Western Visayas),Kalibo (International),Seair,-,-,-,-,17184,-,10825,-,-,-,-,-,28009
VI (Western Visayas),Kalibo (International),Trans Asia Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Kalibo (Domestic),PAL,5277,4708,1617,3890,4308,1587,1565,-,-,-,-,-,22952
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,27579,23821,38565,45798,47333,38479,30649,-,-,-,-,-,252224
VI (Western Visayas),Kalibo (Domestic),Air Philippines,39156,36413,43987,36290,40408,31229,43987,-,-,-,-,-,271470
VI (Western Visayas),Kalibo (Domestic),Zest Air,25949,32926,37415,47501,45878,39190,31354,-,-,-,-,-,260213
VI (Western Visayas),Kalibo (Domestic),air asia,7435,7406,7910,8257,8416,13655,7910,-,-,-,-,-,60989
VI (Western Visayas),Kalibo (Domestic),Seair,10914,10238,10675,17794,18914,13655,10675,-,-,-,-,-,92865
VI (Western Visayas),Kalibo (Domestic),G. Aviation,707,1121,-,637,392,-,567,-,-,-,-,-,3424
VI (Western Visayas),Kalibo (Domestic),Military,-,-,-,-,-,6839,-,-,-,-,-,-,6839
VI (Western Visayas),Roxas,PALEX,9125,7733,8670,10073,9869,7641,7466,-,-,-,-,-,60577
VI (Western Visayas),Roxas,Cebu Pacific,9352,8083,9590,10212,10364,8688,8274,-,-,-,-,-,64563
VI (Western Visayas),Roxas,G. Aviation,94,166,83,217,189,124,62,-,-,-,-,-,935
VI (Western Visayas),Roxas,Military,-,122,-,437,2,-,-,-,-,-,-,-,561
VII (Central Visayas),Dumaguete,Air Philippines,17567,9254,8684,17838,17574,15601,9493,16571,-,-,-,-,112582
VII (Central Visayas),Dumaguete,PAL,-,6401,9466,-,-,-,7580,-,-,-,-,-,23447
VII (Central Visayas),Dumaguete,Cebu Pacific,26464,21437,21911,24042,24704,21535,20321,21435,-,-,-,-,181849
VII (Central Visayas),Dumaguete,G. Aviation,46,81,92,202,126,35,19,44,-,-,-,-,645
VII (Central Visayas),Dumaguete,Military,-,-,21,270,-,-,-,-,-,-,-,-,291
VII (Central Visayas),Mactan,International,162334,149452,144233,137330,-,-,-,-,-,-,-,-,593349
VII (Central Visayas),Mactan,Domestic,464378,415574,440636,517895,-,-,-,-,-,-,-,-,1838483
VII (Central Visayas),Mactan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Mactan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Siquijor,G. Aviation,40,14,28,21,9,10,-,-,-,-,-,-,122
VII (Central Visayas),Tagbilaran,PAL,24501,22042,23131,28617,34375,26668,26175,-,-,-,-,-,185509
VII (Central Visayas),Tagbilaran,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Tagbilaran,Cebu Pacific,9367,7405,12392,16575,18646,9047,8878,-,-,-,-,-,82310
VII (Central Visayas),Tagbilaran,Zest Air,21780,17838,25838,27487,21111,16488,16202,-,-,-,-,-,146744
VII (Central Visayas),Tagbilaran,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Tagbilaran,G. Aviation,36,29,34,27,67,41,22,-,-,-,-,-,256
VII (Central Visayas),Tagbilaran,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Ubay,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Bantayan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Biliran,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Borongan,G. Aviation,no landing and take-off,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Calbayog,Air Philippines,3042,2768,2942,3834,2350,2040,-,-,-,-,-,-,16976
VIII (Eastern Visayas),Calbayog,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Calbayog,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Calbayog,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Calbayog,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Catarman,PAL ,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Catarman,Air Philippines,3260,3024,3286,4088,3941,3846,-,-,-,-,-,-,21445
VIII (Eastern Visayas),Catarman,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Catarman,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Catarman,G. Aviation,-,-,-,35,-,-,-,-,-,-,-,-,35
VIII (Eastern Visayas),Catarman,Military,-,-,-,127,-,-,-,-,-,-,-,-,127
VIII (Eastern Visayas),Catbalogan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Guiuan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Hilongos,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Maasin,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
VIII (Eastern Visayas),Ormoc,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Ormoc,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Ormoc,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
VIII (Eastern Visayas),Ormoc,G. Aviation,42,54,82,60,16,58,68,-,-,-,-,-,380
VIII (Eastern Visayas),Tacloban,PAL,-,24066,31373,32020,33800,-,-,-,-,-,-,-,121259
VIII (Eastern Visayas),Tacloban,Airphil Express,30228,-,-,-,-,-,-,-,-,-,-,-,30228
VIII (Eastern Visayas),Tacloban,Cebu Pacific,43326,38916,51694,50324,54647,-,-,-,-,-,-,-,238907
VIII (Eastern Visayas),Tacloban,Zest Air,12464,10741,18616,24528,19722,-,-,-,-,-,-,-,86071
