region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
IV-B (MIMAROPA),San Jose,Military,8,0,8,16,14,10,8,0,0,0,0,0,64,-
IV-B (MIMAROPA),Pinamalayan,Seair,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Wasig,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
V (Bicol Region),Bulan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
V (Bicol Region),Daet,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
V (Bicol Region),Legaspi,PAL,0,44,30,0,0,0,0,0,0,0,0,0,74,-
V (Bicol Region),Legaspi,Air Philippines,122,68,90,92,112,82,90,0,0,0,0,0,656,-
V (Bicol Region),Legaspi,Cebu Pacific,140,162,216,224,230,198,206,0,0,0,0,0,1376,-
V (Bicol Region),Legaspi,Zest Air,58,56,62,60,16,0,0,0,0,0,0,0,252,-
V (Bicol Region),Legaspi,G. Aviation,82,48,64,70,46,14,22,0,0,0,0,0,346,-
V (Bicol Region),Legaspi,Military,12,20,96,106,168,92,84,0,0,0,0,0,578,-
V (Bicol Region),Masbate,Zest Air,60,58,56,60,20,0,0,0,0,0,0,0,254,-
V (Bicol Region),Masbate,G. Aviation,2,0,0,20,2,14,10,0,0,0,0,0,48,-
V (Bicol Region),Masbate,PAL Express,60,56,60,60,62,60,60,0,0,0,0,0,418,-
V (Bicol Region),Masbate,Cebu Pacific,0,0,0,0,0,26,26,0,0,0,0,0,-,-
V (Bicol Region),Masbate,Military,0,0,0,0,24,2,2,0,0,0,0,0,28,-
V (Bicol Region),Naga,Cebu Pacific,132,114,130,106,212,92,0,0,0,0,0,0,786,-
V (Bicol Region),Naga,PALEX,102,98,108,96,192,110,0,0,0,0,0,0,706,-
V (Bicol Region),Naga,G. Aviation,6,0,120,26,112,4,0,0,0,0,0,0,268,-
V (Bicol Region),Naga,Military,6,10,20,2,108,12,0,0,0,0,0,0,158,-
V (Bicol Region),Sorsogon,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
V (Bicol Region),Virac,Cebu Pacific,34,32,36,32,36,30,36,0,0,0,0,0,236,-
V (Bicol Region),Virac,Sky Jet,0,0,0,14,26,14,0,0,0,0,0,0,54,-
V (Bicol Region),Virac,Asian Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,-
V (Bicol Region),Virac,G. Aviation,8,0,0,4,2,0,0,0,0,0,0,0,14,-
V (Bicol Region),Virac,Military,0,4,0,0,4,0,0,0,0,0,0,0,8,-
VI (Western Visayas),Antique,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
VI (Western Visayas),Bacolod,PAL,620,560,616,300,310,300,310,0,0,0,0,0,3016,-
VI (Western Visayas),Bacolod,Seair,124,112,124,60,62,60,110,0,0,0,0,0,652,-
VI (Western Visayas),Bacolod,Cebu Pacific,976,894,1024,582,594,530,532,0,0,0,0,0,5132,-
VI (Western Visayas),Bacolod,Zest Air,0,0,0,0,44,92,150,0,0,0,0,0,286,-
VI (Western Visayas),Bacolod,Air Philippines,120,112,124,58,62,102,124,0,0,0,0,0,702,-
VI (Western Visayas),Bacolod,Military,0,0,0,2,4,30,0,0,0,0,0,0,36,-
VI (Western Visayas),Bacolod,G. Aviation,0,0,0,1098,668,746,730,0,0,0,0,0,3242,-
VI (Western Visayas),Caticlan,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VI (Western Visayas),Caticlan,Cebu Pacific,908,770,792,0,0,0,590,0,0,0,0,0,3060,-
VI (Western Visayas),Caticlan,Air Philippines,570,426,582,0,0,0,498,0,0,0,0,0,2076,-
VI (Western Visayas),Caticlan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VI (Western Visayas),Caticlan,G. Aviation,104,100,86,0,0,0,64,0,0,0,0,0,354,-
VI (Western Visayas),Caticlan,Military,8,0,0,0,0,0,0,0,0,0,0,0,8,-
VI (Western Visayas),Iloilo (International),Cebu Pacific,44,38,46,42,42,40,0,0,0,0,0,0,252,-
VI (Western Visayas),Iloilo,PAL,336,304,510,480,496,456,0,0,0,0,0,0,2582,-
VI (Western Visayas),Iloilo,Cebu Pacific,786,716,784,758,804,746,0,0,0,0,0,0,4594,-
VI (Western Visayas),Iloilo,PAL Express,134,156,510,480,804,456,0,0,0,0,0,0,2540,-
VI (Western Visayas),Iloilo,Zest Air,132,100,150,180,140,166,0,0,0,0,0,0,868,-
VI (Western Visayas),Iloilo,Seair,62,48,56,60,62,60,0,0,0,0,0,0,348,-
VI (Western Visayas),Iloilo,G. Aviation,266,816,872,516,352,248,0,0,0,0,0,0,3070,-
VI (Western Visayas),Iloilo,Military,0,0,0,0,8,0,0,0,0,0,0,0,8,-
VI (Western Visayas),Kalibo (International),PAL,70,66,22,46,28,22,42,0,0,0,0,0,296,-
VI (Western Visayas),Kalibo (International),Air Philippines,64,46,44,44,62,60,62,0,0,0,0,0,382,-
VI (Western Visayas),Kalibo (International),Cebu Pacific,154,106,96,94,98,102,148,0,0,0,0,0,798,-
VI (Western Visayas),Kalibo (International),Spirit of Manila ,0,0,0,0,0,0,0,0,0,0,0,0,0,-
VI (Western Visayas),Kalibo (International),China M. Air,18,22,18,16,12,0,0,0,0,0,0,0,86,-
VI (Western Visayas),Kalibo (International),Astro Air,0,0,0,0,8,0,0,0,0,0,0,0,8,-
VI (Western Visayas),Kalibo (International),Zest Air,340,210,168,160,268,168,270,0,0,0,0,0,1584,-
VI (Western Visayas),Kalibo (International),Seair,0,0,0,0,106,36,72,0,0,0,0,0,214,-
VI (Western Visayas),Kalibo (International),Trans Asia Airlines,0,0,0,0,0,0,0,0,0,0,0,0,0,3674
VI (Western Visayas),Kalibo (Domestic),PAL,60,136,18,30,42,22,26,0,0,0,0,0,334,-
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,256,204,326,374,398,334,320,0,0,0,0,0,2212,-
VI (Western Visayas),Kalibo (Domestic),Air Philippines,340,310,400,338,338,260,400,0,0,0,0,0,2386,-
VI (Western Visayas),Kalibo (Domestic),Zest Air,218,312,320,348,310,398,360,0,0,0,0,0,2266,-
VI (Western Visayas),Kalibo (Domestic),Air Asia,62,56,62,60,62,60,62,0,0,0,0,0,424,-
VI (Western Visayas),Kalibo (Domestic),Seair,96,88,98,122,156,128,98,0,0,0,0,0,786,-
VI (Western Visayas),Kalibo (Domestic),G. Aviation,68,68,0,54,78,66,34,0,0,0,0,0,368,-
VI (Western Visayas),Kalibo (Domestic),Military,0,0,0,0,0,6,4,0,0,0,0,0,10,10792
