region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,,,
VII (Central Visayas),Tagbilaran,Tiger Air,58, -   ,62,112,122,120,124,124,84, -   , -   , -   ,806,,,
VII (Central Visayas),Tagbilaran,Military,2,2,2, -   , -   , -   ,6,14, -   ,14,4,6,50,,,
VII (Central Visayas),Ubay,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Bantayan,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VIII (Eastern Visayas),Biliran,G. Aviation, -   ,6,6,4, -   ,18,8,14,28,36,40,22,182,,,
VIII (Central Visayas),Borongan,G. Aviation,4, -   , -   , -   , -   , -   , -   , -   , -   ,22,2, -   ,28,,,
VIII (Central Visayas),Calbayog,PAL,56,56,62,60,62,60,60,58,54,48,54,56,686,,,
VIII (Central Visayas),Calbayog,Cebu Pacific, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VIII (Central Visayas),Calbayog,G. Aviation,2, -   ,56,4,8,22,12,14,6,4,6,14,148,,,
VIII (Central Visayas),Calbayog,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VIII (Central Visayas),Calbayog,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VIII (Central Visayas),Catarman,PAL,56,58,60,60,62,60,62,62,68,62,54,56,720,,,
VIII (Central Visayas),Catarman,Cebu Pacific, -   , -   , -   , -   , -   , -   , -   , -   , -   , - , - , - , -   ,,,
VIII (Central Visayas),Catarman,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , - , -   , -   ,,,
VIII (Central Visayas),Catarman,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VIII (Central Visayas),Catarman,G. Aviation, -   ,40,40,6, -   ,10,2,62,6, -   , -   ,40,206,,,
VIII (Central Visayas),Catbalogan,G. Aviation, -   ,2, -   , -   , -   , -   ,4, -   ,4, -   , -   , -   ,10,,,
VIII (Central Visayas),Guiuan,G. Aviation,4,12,8, -   ,2, -   , -   ,2, -   ,2, -   ,2,32,,,
VIII (Central Visayas),Hilongos,G. Aviation,180,306,204,80,124,208,288,270,236,368,452,108,2824,,,
VIII (Central Visayas),Maasin,G. Aviation,268,554,532,278,238,616,604,654,678,910,1080,308,6720,,,
