year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2011,NCR,ordinary plywood,4'x8',0.5,12.7,-
2011,NCR,ordinary plywood,4'x8',0.75,19.05,846.95
2011,NCR,marine plywood,4'x8',0.25,6.35,-
2011,NCR,marine plywood,4'x8',0.5,12.7,-
2011,NCR,marine plywood,4'x8',0.75,19.05,966.3
2011,NCR,plyboard,4'x8',0.75,19.05,870.06
2011,CAR,ordinary plywood,4'x8',0.125,3.175,217.74
2011,CAR,ordinary plywood,4'x8',0.1875,4.7625,292.33
2011,CAR,ordinary plywood,4'x8',0.25,6.35,331.51
2011,CAR,ordinary plywood,4'x8',0.5,12.7,560.02
2011,CAR,ordinary plywood,4'x8',0.75,19.05,906.35
2011,CAR,marine plywood,4'x8',0.25,6.35,359.96
2011,CAR,marine plywood,4'x8',0.5,12.7,672.35
2011,CAR,marine plywood,4'x8',0.75,19.05,1064.87
2011,CAR,plyboard,4'x8',0.75,19.05,928.6
2011,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,234
2011,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,318.73
2011,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,333.96
2011,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,579.32
2011,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,978.5
2011,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,359.03
2011,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,672.42
2011,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,1109.13
2011,I (Ilocos Region),plyboard,4'x8',0.75,19.05,888.25
2011,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,230.71
2011,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,353.29
2011,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,336.42
2011,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,563.64
2011,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,903.9
2011,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,358.98
