company,brand_model
Digital Data Corporation,"Meter Reading, Billing and Collection Systems (Mrbcs) Version 1.0"
Digital Dimensions Inc.,Igourmate Restaurant Management System Version 2.0
Digital Isys Corporation,Digi-Scale POS Ver. 1.10.1
Digital Isys Corporation,Digi Teraoka Sm-300P
Digital Paradise Inc.,Cafe Management Software Version 2.0
Digitel Mobile Phils. Inc.,Integrated Customer Management System (Icms) Ver. 3.31
"Divergent Technologies Phils.,Inc.",Retail Assist Version 3.0
"Divergent Technologies Phils.,Inc.",DPOSit Version 2.0
"Divergent Technologies Phils.,Inc.",Foodconnect Version 1.0
"Divergent Technologies Phils.,Inc.",IBM Sureone 4614
"Divergent Technologies Phils.,Inc.",IBM SurePOS 500 4840
"Divergent Technologies Phils.,Inc.",IBM SurePOS 300 4810
"Divergent Technologies Phils.,Inc.",Retail Assist Version 4.0
"Divergent Technologies Phils.,Inc.",FastPOS Version 1.5
"Divergent Technologies Phils.,Inc.",Spa and Salon Solution Version 1.0
"Divergent Technologies Phils.,Inc.",Divergent CPOS Cm-6785
Dollar & Scents Corporation,Simple POS System Version 2.15
"DSG Sons Group, Inc.","JDA Win/DSS (Dsg Sons Group, Inc.) Version 2006.1.0"
Dunlevy Food Corporation,KFC POS Version 7.9.1
Dynamic Global Enterprise Systems Inc.,Microsoft Ls Retail (Lansteiner Strengur) Version 4.20.01
Dynamic Global Enterprise Systems Inc.,Microsoft Ls (Lansteiner Strengur) Retail System Version 5.0
Dynamic Global Enterprise Systems Inc.,ToucHPoint POS System Version 5.0
Dynamic Global Enterprise Systems Inc.,Microsoft Ls (Lansteiner Strengur) Retail System Version 3.7
Dynamic Global Enterprise Systems Inc.,Squirrel Systems Version 1.5X
Dynasty Management & Development Corporation,JDA Win/DSS Version 2004.1.0.36.G2
Edrico Namocot Duero(Active Systems Development And It Consulting Firm),Active One Version 1.0.31
Eduardo Cusi Dimayacyac(Datacare Service Center),Data Care POS System Version 1.0
Edwin Carlos Guillermo(Software-Asia Technologies),POSware Version 1.0
Edwin Luague Menor,Uniwell Ex-560
Edwin Luague Menor,(Provision Systems Enterprises)
Edwin Luague Menor,@Lt-Pos System Version 5.0
Edwin Luague Menor,BMC Ps 2000 El+
