particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
   Department of Social Welfare and Development,693372,10075824,133142,692755,9476959,507659,711938,13687837,52800,1,
     Office of the Secretary,677270,9706861,124794,678084,9447070,506659,697147,13659263,50000,,
     Council for the Welfare of Children,9805,349584,7394,9810,11357,0,9992,11691,0,,
     Inter-Country Adoption Board,6297,19379,954,4861,18532,1000,4799,16883,2800,,
,,,,,,,,,,,
   Department of Tourism,388846,1254627,94088,380433,1347030,297775,299494,1156006,50000,1,
     Office of the Secretary,261068,1191185,52237,259386,1280938,91275,223170,1073344,0,,
     Intramuros Administration,17416,16261,0,17631,16758,186500,17830,17091,50000,,
     National Parks Development Committee,110362,47181,41851,103416,49334,20000,58494,65571,0,,
,,,,,,,,,,,
   Department of Trade and Industry,1038062,1550197,50624,938359,1646259,413403,948407,1352824,1250,1,
     Office of the Secretary,876474,1370390,25767,780539,1447372,379854,800124,1152628,0,,
     Board of Investments,89415,113324,23555,87746,122999,26564,81038,122999,0,,
     Construction Industry Authority of the Philippines,23183,15593,412,22739,16818,1971,22496,17925,0,,
     Construction Manpower Development Foundation,10593,8890,118,11117,10810,140,10189,10810,0,,
     Philippine Trade Training Center,16744,15485,547,16380,16992,3358,16499,17523,750,,
     Product Development and Design Center of,,,,,,,,,,,
        the Philippines,21653,26515,225,19838,31268,1516,18061,30939,500,,
,,,,,,,,,,,
   Department of Transportation and Communications,3970917,8493890,9951223,3814244,5500992,15527238,2686689,8319833,4067083,1,
     Office of the Secretary,3637882,8222948,9886591,3494663,5229741,15435849,2354410,8032305,4016583,,
     Civil Aeronautics Board,23894,13952,4397,23599,18764,3500,24301,15335,500,,
     Maritime Industry Authority,134372,145050,14847,132003,152591,37589,133723,169500,0,,
     Office of Transportation Cooperatives,10182,3244,76,10220,3429,300,9426,3444,0,,
     Office for Transportation Security,155905,105258,45312,145364,92501,50000,156697,95306,50000,,
     Toll Regulatory Board,8682,3438,0,8395,3966,0,8132,3943,0,,
,,,,,,,,,,,
   National Economic and Development Authority,1150479,875765,205972,1101499,1141238,121098,1071524,2918043,119111,1,
     Office of the Director-General,380117,249757,68774,371656,267251,98028,379859,282745,29570,,
     National Statistical Coordination Board,52803,32912,4787,52762,34214,0,45019,40847,1202,,
     National Statistics Office,655297,568260,111218,632294,806893,2720,608003,2562353,88339,,
     Philippine National Volunteer Service,,,,,,,,,,,
        Coordinating Agency,6818,4586,0,6937,4948,0,6598,4948,0,,
