Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Cagayan Economic Zone Authority,"322,430",0,0,0,0,0,0,0,0,0,0,0,"322,430"
               Home Guaranty Corporation,"200,000",0,0,0,0,0,0,0,0,0,0,0,"200,000"
               National Home Mortgage Finance Corporation,"500,000",0,0,0,0,0,0,0,0,0,0,0,"500,000"
               Zamboanga City Special Economic Zone Authority,"70,000",0,0,0,0,0,0,0,0,0,0,0,"70,000"
,,,,,,,,,,,,,
          Net Lending,0,0,0,0,0,0,0,0,0,0,0,"14,393,000","14,393,000"
,,,,,,,,,,,,,
     Allocation to Local Government Units,0,"279,683",0,"230,612","18,730","10,476",0,"10,354",0,"2,711,554",0,0,"3,261,409"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Metropolitan Manila Development Authority,0,0,0,"221,000",0,0,0,0,0,0,0,0,"221,000"
          Pasig River Rehabilitation Commission,0,0,0,"9,612","18,730",0,0,797,0,0,0,0,"29,139"
          Municipal Development Fund,0,"279,683",0,0,0,"10,476",0,"9,557",0,"2,711,554",0,0,"3,011,270"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GRAND TOTAL,"1,677,448","3,681,649","26,528","5,525,203","10,837,703","5,583,390","50,840","2,524,880","11,996,851","138,463,865","227,806","14,393,000","194,989,163"
