program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Environmental Management Program,Solid Waste Management Program,Repair and Maintenance of heavy equipment,-,55000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Improvement of dumpsite facilities,-,300000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of drainage system at Motorpool Cmpd. to BFP-Mercado Ave. (Phase 2),-,300000,-,-,-,25590,-,-
Environmental Management Program,Flood Control and Drainage System,"Additional Construction of drainage canal beside DRBCS at Pr. 2, Barangay 23",-,300000,-,-,-,240495.8,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of drainage canal along Corre's res., Barangay 24-A",-,300000,-,-,-,244822.11,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of drainage canal with cover in front of ASL Gym,-,500000,-,-,-,443979.24,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of Concreting drainage cover at Villa Veronica,-,1000000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of river control dike, Barangay 1",-,1000000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of box culvert, Barangay Hindangon",-,500000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of culvert beyond Elementary school, Barangay Kibuging",-,300000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,Re-Chanelling of Antayon River,-,300000,-,-,-,26221.33,-,-
Environmental Management Program,Flood Control and Drainage System,Maintenance of drainage canal city-wide,-,3000000,-,-,-,2478574.46,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Organic Agriculture Program,-,495550,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn,-,-,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Rice Production,-,600000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Corn Production,-,300000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers,-,-,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Vegetable,-,248000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Coffee,-,100000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,"High Value Commercial Crops Support Program Seedling dispersal (rubber, coffee, banana)",-,200000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Barangay Self-Sufficiency Program,-,380610,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Agri-Engineering Services,-,130000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Plant Nursery,-,130350,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Tissue Culture Laboratory,-,81269,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Poultry Improvement and Demo Project,-,46000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livestock Artificial Insemination Project,-,58000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Hog Artificial Insemination Project,-,72000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Stock Farm,-,92000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Marine Mammal Protection andRehabilitationilitation Project,-,200000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Protection/Rehabilitation of Marine Protected Areas Project,-,150000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Mangrove Rehabilitation/Nursery Mngt. Project,-,150000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Coastal Clean-up,-,100000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,"Sustainable Upland, Lowland and Mangrove Ecosystem Protection and Rehabilitationilitation",-,200000,-,-,-,-,-,-
Total,Total,Total,-,108315212,-,-,-,17589421.61,-,-
