region,province,name_of_cooperative,address,contact_person,phone_number
RFU VI,Negros Occidental,ECJ Farmworkers Agrarian Reform MPC ,"Baliwagan, San Enrique Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Animal Breeding and Genetic Improvement Center (ABGIC) ,"Camingawan, Kabankalan City, Negros Occidental ",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Makabayan Multi-purpose Cooperative  ,"Poblacion, Pontevedra, Negros Occidental ",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,ECJ Dairy Farm ,Negros Occidental,c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Talaptap Irrigators Association ,"Talaptap, La Castellana Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Pontevedra Breeding Center ,"San Isidro, Pontevedra Negros Occidental",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,LGM Agro Farm ,"Pontevedra, Negros Occidental ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Occidental,Engr. Alfonso Teves Farm / Metro Dumaguete ,"Camanhac, Dumaguete City, Negros Oriental ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Bohol,PCC-Ubay ,"Ubay, Bohol ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Bohol,Ubay Mutiplier Farm ,"Calanggaman, Ubay, Bohol ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Bohol,Ubay Stock Farm ,"Lumangog, Ubay Bohol ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Bohol,Cantubod Association for the Rehabilitation of Environment (CARE) ,"Danao, Bohol ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Siquijor,"Kababayen-an Alang sa Pagpalambo sa Nasudnong Industriya sa Gatas (KAPANIG) MPC (merger of TRIC, BARUG and WONDER) ","Cangmunag, San Juan, Siquijor ",Gloria Ontoy ,(035) 481-5017 
RFU VII,Cebu,Barangay Unity Key to Integrated Development (BUKID) MPC ,"Magsaysay, Balamban, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
