particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
     Department of Public Works and Highways,16126768,109415088,0,5798461,10109990,10328307,99305098,0,0,0,0,1
          Office of the Secretary,16126768,109415088,0,5798461,10109990,10328307,99305098,0,0,0,0,0
,,,,,,,,,,,,
     Department of Science and Technology,8365707,982752,0,209001,0,8156706,982752,0,0,0,0,1
          Office of the Secretary,1904054,144460,0,21159,0,1882895,144460,0,0,0,0,0
,,,,,,,,,,,,
          Advanced Science and Technology Institute,59772,21145,0,2254,0,57518,21145,0,0,0,0,0
,,,,,,,,,,,,
          Food and Nutrition Research Institute,111546,47902,0,5157,0,106389,47902,0,0,0,0,0
,,,,,,,,,,,,
          Forest Products Research and Development Institute,80398,1332,0,5156,0,75242,1332,0,0,0,0,0
,,,,,,,,,,,,
          Industrial Technology Development Institute,245638,0,0,9380,0,236258,0,0,0,0,0,0
,,,,,,,,,,,,
          Information and Communications Technology Office,1286863,1300,0,88591,0,1198272,1300,0,0,0,0,0
,,,,,,,,,,,,
          Metals Industry Research and Development Center,209410,35094,0,5836,0,203574,35094,0,0,0,0,0
,,,,,,,,,,,,
          National Academy of Science and Technology,42509,278,0,421,0,42088,278,0,0,0,0,0
,,,,,,,,,,,,
          National Research Council of the Philippines,55591,669,0,1197,0,54394,669,0,0,0,0,0
,,,,,,,,,,,,
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,
                Astronomical Services Administration,869830,413816,0,22690,0,847140,413816,0,0,0,0,0
,,,,,,,,,,,,
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,
                and Natural Resources Research and Development,294998,1495,0,5877,0,289121,1495,0,0,0,0,0
,,,,,,,,,,,,
"          Philippine Council for Agriculture, Aquatic",,,,,,,,,,,,
                and Natural Resources Research and Development,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Council for Aquatic and Marine,,,,,,,,,,,,
                Research and Development,49858,0,0,1329,0,48529,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Council for Health Research and Development,257098,5190,0,1679,0,255419,5190,0,0,0,0,0
,,,,,,,,,,,,
"          Philippine Council for Industry, Energy and",,,,,,,,,,,,
                Emerging Technology Research and Development,594852,1000,0,1934,0,592918,1000,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Institute of Volcanology and Seismology,150354,69685,0,5455,0,144899,69685,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Nuclear Research Institute,131982,8479,0,6329,0,125653,8479,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Science High School,490001,215434,0,17390,0,472611,215434,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Textile Research Institute,50354,3273,0,2385,0,47969,3273,0,0,0,0,0
,,,,,,,,,,,,
          Science Education Institute,1368412,1200,0,1422,0,1366990,1200,0,0,0,0,0
,,,,,,,,,,,,
          Science and Technology Information Institute,37528,0,0,1501,0,36027,0,0,0,0,0,0
,,,,,,,,,,,,
          Technology Application and Promotion Institute,74659,11000,0,1859,0,72800,11000,0,0,0,0,0
,,,,,,,,,,,,
     Department of Social Welfare and Development,49235373,188291,0,74776,0,49160597,188291,0,0,0,0,1
          Office of the Secretary,49087789,184621,0,69055,0,49018734,184621,0,0,0,0,0
,,,,,,,,,,,,
          Council for the Welfare of Children,28629,365,0,1060,0,27569,365,0,0,0,0,0
