Particular,A031,A032,A033,A034,A035,A036,A038,A040,A041,A042,A960,Total
          Net Lending,0,0,0,0,0,0,0,0,0,0,"15,000,000","15,000,000"
,,,,,,,,,,,,
     Allocation to Local Government Units,0,0,0,"208,000",0,0,0,0,0,0,0,"208,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Metropolitan Manila Development Authority,0,0,0,"208,000",0,0,0,0,0,0,0,"208,000"
,,,,,,,,,,,,
     Calamity Fund,0,0,0,0,0,0,0,0,"1,550,000",0,0,"1,550,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
     Contingent Fund,0,0,0,0,"260,000",0,0,0,0,0,0,"260,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
     Department of Education - School Building Program,0,0,0,0,"940,000","60,000",0,0,0,0,0,"1,000,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
     E-Government Fund,0,0,0,0,0,"1,190,000",0,0,0,0,0,"1,190,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
     Priority Development Assistance Fund,0,0,0,0,"16,883,500",0,0,0,0,0,0,"16,883,500"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
GRAND TOTAL,"1,025,550","132,400","693,638","1,968,168","38,108,411","6,735,049","1,611,905","10,166,946","130,837,719","1,439,753","15,000,000","207,719,539"
,,,,,,,,,,,,
