particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
             National Intelligence Coordinating Agency,492589,442346,458616,0,0,2012,252,0,4,21,DEPT,NICA,Other Executive Offices,National Intelligence Coordinating Agency,,492589,442346,458616
             National Security Council,70142,63295,75541,0,0,2012,253,0,4,21,DEPT,NSC,Other Executive Offices,National Security Council,,70142,63295,75541
             Presidential Communications Development and Strategic Planning Office,2353,50000,53301,0,0,2012,254,0,4,21,DEPT,PCDSPO,Other Executive Offices,Presidential Communications Development and Strategic Planning Office,,2353,50000,53301
             Philippine Racing Commission,103319,104042,105800,0,0,2012,255,0,4,21,DEPT,PRACOM,Other Executive Offices,Philippine Racing Commission,,103319,104042,105800
             Presidential Legislative Liaison Office,20989,20811,23835,0,0,2012,256,0,4,21,DEPT,PLLO,Other Executive Offices,Presidential Legislative Liaison Office,,20989,20811,23835
             Presidential Management Staff,273595,227153,261826,0,0,2012,257,0,4,21,DEPT,PMS,Other Executive Offices,Presidential Management Staff,,273595,227153,261826
             Philippine Drug Enforcement Agency,582200,519885,679777,0,0,2012,258,0,4,21,DEPT,PDEA,Other Executive Offices,Philippine Drug Enforcement Agency,,582200,519885,679777
             Optical Media Board,35247,36893,42962,0,0,2012,259,0,4,21,DEPT,VRB,Other Executive Offices,Optical Media Board,,35247,36893,42962
             Anti-Money Laundering Council,10596,9690,30099,0,0,2012,260,0,4,21,DEPT,AMLC,Other Executive Offices,Anti-Money Laundering Council,,10596,9690,30099
      Department of Labor and Employment,521902,474122,659516,4,0,2012,,0,4,21,DEPT,,Department of Labor and Employment,Department of Labor and Employment,,521902,474122,659516
             Professional Regulation Commission,521902,474122,659516,0,0,2012,261,0,4,21,DEPT,PRC-DOLE,Department of Labor and Employment,Professional Regulation Commission,,521902,474122,659516
      Joint Legislative-Executive Councils,914,2185,2137,0,0,2012,262,0,4,21,DEPT,LEDAC,Joint Legislative-Executive Councils,,,914,2185,2137
      Civil Service Commission,771015,713858,698942,4,0,2012,,0,4,21,DEPT,,Civil Service Commission,Civil Service Commission,,771015,713858,698942
         Civil Service Commission,729273,670823,648843,4,0,2012,263,0,4,21,DEPT,CSCOM,Civil Service Commission,Civil Service Commission,,729273,670823,648843
             Career Executive Service Board,41742,43035,50099,0,0,2012,264,0,4,21,DEPT,CESB,Civil Service Commission,Career Executive Service Board,,41742,43035,50099
      Commission on Audit,4766491,4493173,5150948,0,0,2012,265,0,4,21,DEPT,COA,Commission on Audit,,,4766491,4493173,5150948
      Commission on Elections,12792504,2380683,9990834,0,0,2012,266,0,4,21,DEPT,COMELEC,Commission on Elections,,,12792504,2380683,9990834
      Autonomous Region in Muslim Mindanao,10641281,11852801,12468623,4,0,2012,,0,4,21,DEPT,,Autonomous Region in Muslim Mindanao,Autonomous Region in Muslim Mindanao,,10641281,11852801,12468623
             Autonomous Regional Government in Muslim Mindanao,10641281,11852801,12468623,0,0,2012,267,0,4,21,DEPT,ARMM,Autonomous Region in Muslim Mindanao,Autonomous Regional Government in Muslim Mindanao,,10641281,11852801,12468623
   Budgetary Support to Government Corporations,4428957,25300,33000,3,1,2012,,0,4,21,BSGC,,,,,4428957,25300,33000
      Philippine Institute for Development Studies,19200,25300,33000,0,0,2012,268,0,4,21,BSGC,PIDS,Philippine Institute for Development Studies,,,19200,25300,33000
"      People`s Television Network, Incorporated",4039,0,0,0,0,2012,269,0,4,21,BSGC,PTV4,"People`s Television Network, Incorporated",,,4039,0,0
      Development Bank of the Philippines,2447,0,0,0,0,2012,270,0,4,21,BSGC,DBP,Development Bank of the Philippines,,,2447,0,0
      Philippine Deposit Insurance Corporation,4403271,0,0,0,0,2012,271,0,4,21,BSGC,PDIC,Philippine Deposit Insurance Corporation,,,4403271,0,0
   Other Special Purpose Funds,0,13999304,18929079,3,1,2012,,0,4,21,OSPF,,,,,0,13999304,18929079
      Calamity Fund,0,305000,457500,0,0,2012,272,0,4,21,OSPF,CF,Calamity Fund,,,0,305000,457500
      Contingent Fund,0,833000,833000,0,0,2012,273,0,4,21,OSPF,COF,Contingent Fund,,,0,833000,833000
      Miscellaneous Personnel Benefits Fund,0,11375864,16339899,0,0,2012,274,0,4,21,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,11375864,16339899
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,275,0,4,21,OSPF,PAMANA,Payapa at Masaganang Pamayanan Fund,,,0,0,0
      Priority Development Assistance Fund,0,295440,298680,0,0,2012,276,0,4,21,OSPF,PDAF,Priority Development Assistance Fund,,,0,295440,298680
      E-Government Fund,0,1190000,1000000,0,0,2012,277,0,4,21,OSPF,E-GOV,E-Government Fund,,,0,1190000,1000000
Public Order and Safety,95254519,118398278,130079512,2,1,2012,,0,4,22,,,,,,95254519,118398278,130079512
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,95254519,105934821,112171753,3,1,2012,,0,4,22,DEPT,,,,,95254519,105934821,112171753
      Department of Justice,6516129,6228750,7138752,4,0,2012,,0,4,22,DEPT,,Department of Justice,Department of Justice,,6516129,6228750,7138752
             Office of the Secretary,2716520,2609014,3318644,0,0,2012,278,0,4,22,DEPT,OSEC-DOJ,Department of Justice,Office of the Secretary,,2716520,2609014,3318644
             Bureau of Corrections,1393550,1546628,1591907,0,0,2012,279,0,4,22,DEPT,BCOR,Department of Justice,Bureau of Corrections,,1393550,1546628,1591907
             Land Registration Authority,1015039,790201,854004,0,0,2012,280,0,4,22,DEPT,LRA,Department of Justice,Land Registration Authority,,1015039,790201,854004
             National Bureau of Investigation,906889,826439,888866,0,0,2012,281,0,4,22,DEPT,NBI,Department of Justice,National Bureau of Investigation,,906889,826439,888866
             Parole and Probation Administration,484131,456468,485331,0,0,2012,282,0,4,22,DEPT,PPA,Department of Justice,Parole and Probation Administration,,484131,456468,485331
      Department of the Interior and Local Government,73018302,84192999,89312700,4,0,2012,,0,4,22,DEPT,,Department of the Interior and Local Government,Department of the Interior and Local Government,,73018302,84192999,89312700
             Bureau of Fire Protection,6648314,8221809,8570678,0,0,2012,283,0,4,22,DEPT,BFP,Department of the Interior and Local Government,Bureau of Fire Protection,,6648314,8221809,8570678
             Bureau of Jail Management and Penology,4588890,5153053,5617353,0,0,2012,284,0,4,22,DEPT,BJMP,Department of the Interior and Local Government,Bureau of Jail Management and Penology,,4588890,5153053,5617353
             Philippine National Police,60427743,69475778,73757868,0,0,2012,285,0,4,22,DEPT,PNP,Department of the Interior and Local Government,Philippine National Police,,60427743,69475778,73757868
             National Police Commission,1353355,1342359,1366801,0,0,2012,286,0,4,22,DEPT,NAPOLCOM,Department of the Interior and Local Government,National Police Commission,,1353355,1342359,1366801
      Department of National Defense,272289,96393,1228012,4,0,2012,,0,4,22,DEPT,,Department of National Defense,Department of National Defense,,272289,96393,1228012
             Office of Civil Defense,272289,96393,1228012,0,0,2012,287,0,4,22,DEPT,OCD,Department of National Defense,Office of Civil Defense,,272289,96393,1228012
      The Judiciary,14266347,14307390,13706389,4,0,2012,,0,4,22,DEPT,,The Judiciary,The Judiciary,,14266347,14307390,13706389
             Supreme Court of the Philippines and the Lower Courts,12487474,12783344,12109397,0,0,2012,288,0,4,22,DEPT,SCPLC,The Judiciary,Supreme Court of the Philippines and the Lower Courts,,12487474,12783344,12109397
                 Presidential Electoral Tribunal,58557,67377,39955,0,0,2012,289,0,4,22,DEPT,PET,The Judiciary,Supreme Court of the Philippines and the Lower Courts,Presidential Electoral Tribunal,58557,67377,39955
             Sandiganbayan,345098,329549,334556,0,0,2012,290,0,4,22,DEPT,SB,The Judiciary,Sandiganbayan,,345098,329549,334556
             Court of Appeals,1058584,946596,1029584,0,0,2012,291,0,4,22,DEPT,CAP,The Judiciary,Court of Appeals,,1058584,946596,1029584
             Court of Tax Appeals,316634,180524,192897,0,0,2012,292,0,4,22,DEPT,CTA,The Judiciary,Court of Tax Appeals,,316634,180524,192897
      Office of the Ombudsman,1181452,1109289,785900,0,0,2012,293,0,4,22,DEPT,OMB,Office of the Ombudsman,,,1181452,1109289,785900
   Other Special Purpose Funds,0,12463457,17907759,3,1,2012,,0,4,22,OSPF,,,,,0,12463457,17907759
      Calamity Fund,0,775000,1162500,0,0,2012,294,0,4,22,OSPF,CF,Calamity Fund,,,0,775000,1162500
      Contingent Fund,0,76000,76000,0,0,2012,295,0,4,22,OSPF,COF,Contingent Fund,,,0,76000,76000
      Miscellaneous Personnel Benefits Fund,0,11587837,16644369,0,0,2012,296,0,4,22,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,11587837,16644369
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,297,0,4,22,OSPF,PDAF,Priority Development Assistance Fund,,,0,24620,24890
Other General Public Services,10400213,9826109,16082003,2,1,2012,,0,4,23,,,,,,10400213,9826109,16082003
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,1900247,1309974,2041585,3,1,2012,,0,4,23,DEPT,,,,,1900247,1309974,2041585
      Other Executive Offices,365533,235880,569639,4,0,2012,,0,4,23,DEPT,,Other Executive Offices,Other Executive Offices,,365533,235880,569639
             Governance Commission for Government-Owned and Controlled Corporations,0,0,0,0,0,2012,298,0,4,23,DEPT,GCG,Other Executive Offices,Governance Commission for Government-Owned and Controlled Corporations,,0,0,0
      Department of Justice,141194,93101,96477,4,0,2012,,0,4,23,DEPT,,Department of Justice,Department of Justice,,141194,93101,96477
             Presidential Commission on Good Government,141194,93101,96477,0,0,2012,299,0,4,23,DEPT,PCGG-DOJ,Department of Justice,Presidential Commission on Good Government,,141194,93101,96477
             Office of the Presidential Adviser on the Peace Process,365533,235880,569639,0,0,2012,300,0,4,23,DEPT,OPAPP,Other Executive Offices,Office of the Presidential Adviser on the Peace Process,,365533,235880,569639
      Allocations to Local Government Units,1393520,980993,1375469,4,0,2012,,0,4,23,DEPT,,Allocations to Local Government Units,Allocations to Local Government Units,,1393520,980993,1375469
             Metropolitan Manila Development Authority,1393520,980993,1375469,0,0,2012,301,0,4,23,DEPT,S_MMDA,Allocations to Local Government Units,Metropolitan Manila Development Authority,,1393520,980993,1375469
   Other Special Purpose Funds,8499966,8516135,14040418,3,1,2012,,0,4,23,OSPF,,,,,8499966,8516135,14040418
      Allocations to Local Government Units,8499966,250000,250000,4,0,2012,,0,4,23,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,8499966,250000,250000
             Barangay Officials Death Benefits Fund,0,50000,50000,0,0,2012,302,0,4,23,OSPF,BODBF,Allocations to Local Government Units,Barangay Officials Death Benefits Fund,,0,50000,50000
             Financial Subsidy to Local Government Units,3900056,200000,200000,0,0,2012,303,0,4,23,OSPF,FSLGU,Allocations to Local Government Units,Financial Subsidy to Local Government Units,,3900056,200000,200000
             Special Financial Assistance to Local Government Units,4599910,0,0,0,0,2012,304,0,4,23,OSPF,SFALGU,Allocations to Local Government Units,Special Financial Assistance to Local Government Units,,4599910,0,0
      International Commitments Fund,0,3174820,2683248,0,0,2012,305,0,4,23,OSPF,ICF,International Commitments Fund,,,0,3174820,2683248
      Miscellaneous Personnel Benefits Fund,0,141315,202980,0,0,2012,306,0,4,23,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,141315,202980
      Tax Expenditures Fund,0,4950000,10904190,0,0,2012,307,0,4,23,OSPF,TEF,Tax Expenditures Fund,,,0,4950000,10904190
,,,,0,0,,,0,,,,,,,,,,
Subsidy to Local Government Units,74424666,80344387,76526686,0,1,2012,308,0,4,24,,IRA,,,,74424666,80344387,76526686
,,,,0,0,,,0,,,,,,,,,,
NET LENDING,9258000,15000000,23000000,0,1,2012,309,0,5,25,,NET,,,,9258000,15000000,23000000
,,,,0,0,,,0,,,,,,,,,,
DEBT-SERVICE-INTEREST PAYMENTS,294244000,357090000,333107000,0,1,2012,310,0,6,26,,DSF,,,,294244000,357090000,333107000
,,,,0,0,,,0,,,,,,,,,,
GRAND TOTAL,1472977429,1645000000,1816000000,10,1,,,0,,,,,,,,1472977429,1645000000,1816000000
