city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Tubo,Mayor,"Gattud, Wilma Saguiyod",Wilma,Lakas-Christian Muslim Democrats,1768
Tubo,Vice-Mayor,"Mateo, Pedro Bolona",Mateo,Lakas-Christian Muslim Democrats,1673
Tubo,Councilor,"Aurelio, Dominga Bomil-O",Doming,Lakas-Christian Muslim Democrats,1654
Tubo,Councilor,"Masadao, Rizalino Bomatnong",Salino,Lakas-Christian Muslim Democrats,1457
Tubo,Councilor,"Loguibis, Roxas Bao-Anan",Lucas,Lakas-Christian Muslim Democrats,1487
Tubo,Councilor,"Gayad, Alfredo Corpus",Fred,Lakas-Christian Muslim Democrats,1539
Tubo,Councilor,"Barcena, Nestor Guil-Ad",Salelet,Lakas-Christian Muslim Democrats,1551
Tubo,Councilor,"Macalingay, Bernardo Daogas",Ottotan,Lakas-Christian Muslim Democrats,1562
Tubo,Councilor,"Macario, Zaldy Wandasan",Zaldy,Lakas-Christian Muslim Democrats,1653
Tubo,Councilor,"Gassil, Osborne Pidig",Borne,Lakas-Christian Muslim Democrats,1680
Villavicciosa,Mayor,"Lagen, Marjorie Lumabiang",Jolet,Lakas-Christian Muslim Democrats,1666
Villavicciosa,Vice-Mayor,"Lagen, Jose Jr. Wagayen",Peping,Lakas-Kampi,1796
Villavicciosa,Councilor,"Bagno, Amelito Magayam",Totoy,Lakas-Kampi,1658
Villavicciosa,Councilor,"Oca, Ingrid Bumacsa",Ingrid,Liberal Party,1493
Villavicciosa,Councilor,"Day-Em, Victor Tobias",Victor,Lakas-Kampi,1542
Villavicciosa,Councilor,"Damasen, Dedicacion Fontanilla",Diding,Independent,1566
Villavicciosa,Councilor,"Luzano, Manuel Valdez",Maning,Lakas-Kampi,1569
Villavicciosa,Councilor,"Paned, Alex Mayer",Alex,Lakas-Kampi,1603
Villavicciosa,Councilor,"Agcalao, Peter Cadalig",Peter,Liberal Party,1616
Villavicciosa,Councilor,"Paned, Tessie Gumanab",Tessie,Lakas-Kampi,1776
