region,private_hei,bacc,ms_or_ma,phd,total
X (Northern Mindanao),Philippine College Foundation,10,10,6,26
X (Northern Mindanao),Pilgrim Christian College,36,29,7,72
X (Northern Mindanao),Quezon Institute of Technology,5,12,0,17
X (Northern Mindanao),Sacred Heart College of Calamba,18,7,0,25
X (Northern Mindanao),St. John Vianney Theological Seminary,9,5,6,20
X (Northern Mindanao),St. Peter's College of Balingasag,18,8,6,32
X (Northern Mindanao),St. Rita's College of Balingasag,34,7,2,43
X (Northern Mindanao),San Agustin Institute of Technology,32,11,4,47
X (Northern Mindanao),San Isidro College,32,26,6,64
X (Northern Mindanao),Southern Bukidnon Foundation Academy,6,6,1,13
X (Northern Mindanao),Southern Capital Colleges,15,3,1,19
X (Northern Mindanao),Southern De Oro Philippines College,29,16,3,48
X (Northern Mindanao),Stella Maris College,12,12,1,25
X (Northern Mindanao),Valencia Colleges,16,20,2,38
X (Northern Mindanao),Xavier University,299,211,55,565
X (Northern Mindanao),STI Colleges of Mindanao,28,6,0,34
X (Northern Mindanao),AMA Computer College,12,2,0,14
X (Northern Mindanao),Philippine Computer College,22,3,0,25
X (Northern Mindanao),Roman C. Villalon Memorial Colleges Foundation,13,11,2,26
X (Northern Mindanao),Oro Bible College,4,6,1,11
X (Northern Mindanao),Dr. Solomon U. Molina College,3,13,2,18
X (Northern Mindanao),Adventist Technological Institute,11,2,0,13
X (Northern Mindanao),Southern Maramag Colleges,9,0,1,10
X (Northern Mindanao),ACLC College of Bukidnon,4,12,0,16
X (Northern Mindanao),IBA College of Mindanao,16,13,7,36
X (Northern Mindanao),Misamis Oriental Institute of Science and Technology,25,8,2,35
X (Northern Mindanao),St. Mary's Maternity and Children's Hospital School,5,7,0,12
X (Northern Mindanao),The New El Salvador Colleges,6,10,1,17
X (Northern Mindanao),Our Lady of Triumph Institute of Technology,19,2,1,22
X (Northern Mindanao),Vineyard International Polytechnic College,4,2,0,6
X (Northern Mindanao),Northwestern Mindanao Institute of Technology,5,6,0,11
X (Northern Mindanao),North Central Mindanao Colleges,51,19,0,70
X (Northern Mindanao),Iligan Capitol College,19,15,5,39
X (Northern Mindanao),ICTI Polytechnic College,27,1,0,28
X (Northern Mindanao),Iligan Medical Center College,39,21,10,70
X (Northern Mindanao),Mindanao Sanitarium and Hospital College,23,37,8,68
X (Northern Mindanao),St. Michael's College,60,55,19,134
X (Northern Mindanao),St. Peter's College-lligan City,68,26,13,107
X (Northern Mindanao),Santa Monica Institute of Technology,9,2,3,14
X (Northern Mindanao),Lyceum of Iligan Foundation,25,19,0,44
X (Northern Mindanao),Christ The King College De Maranding,23,11,1,35
X (Northern Mindanao),Lanao School of Science and Technology,14,14,2,30
X (Northern Mindanao),Masters Technological Institute of Mindanao,10,3,3,16
X (Northern Mindanao),Picardal Institute of Science and Technology,6,3,1,10
XI (Davao Region),Agro-Industrial Foundation College of the Philippines-Davao ,29,0,0,29
XI (Davao Region),AMA Computer College-Davao,9,26,1,36
XI (Davao Region),Arriesgado College Foundation,26,16,2,44
XI (Davao Region),Assumption College of Nabunturan,19,24,2,45
XI (Davao Region),Ateneo De Davao University,144,223,84,451
XI (Davao Region),Brokenshire College,51,65,8,124
XI (Davao Region),Cor Jesu College,57,48,8,113
XI (Davao Region),Davao Central College,18,31,7,56
XI (Davao Region),Davao Doctors College,44,56,3,103
XI (Davao Region),Davao Medical School Foundation College,319,46,4,369
XI (Davao Region),DMMA College of Southern Philippines,81,25,3,109
