particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction, Sogod Tibgao Brgy. Road, Virac","Construction, Sogod Tibgao Brgy. Road, Virac",-300-5d,289427.56,289427.56,285291.5,4136.06,4136.06,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Sto. Cristo St., Calatagan Proper, Virac","Concreting of Sto. Cristo St., Calatagan Proper, Virac",-300-5h,388371.23,388371.23,384499.5,3871.73,3871.73,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Francia Brgy. Road, Virac","Concreting of Francia Brgy. Road, Virac",-300-5i,174395,174395,168745,5650,5650,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Cabihian Brgy. Road, Virac","Concreting of Cabihian Brgy. Road, Virac",-300-5j,194889.11,194889.11,180746.65,14142.46,14142.46,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Sta. Elena Road Shouldering, Virac","Concreting of Sta. Elena Road Shouldering, Virac",-300-5n,80000,80000,-,80000,80000,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting of Hicming Brgy. Road, Virac","Concreting of Hicming Brgy. Road, Virac",-300-5o,289427.56,289427.56,285751.8,3675.76,3675.76,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga",-300-5p,-,-,-,-,-,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Concreting, District II Brgy. Road, San Miguel","Rehabilitation or Concreting, District II Brgy. Road, San Miguel",-300-5q,973289.2,973289.2,966289.2,7000,7000,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto",-300-5r,-,-,-,-,-,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation of Esperanza Concrete Pavement, San Andres","Rehabilitation of Esperanza Concrete Pavement, San Andres",-300-5s,243101.05,243101.05,240601.05,2500,2500,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac",-300-5t,970934.5,970934.5,962934.5,8000,8000,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Restoration, Prov'l Roads and Bridges","Rehabilitation or Restoration, Prov'l Roads and Bridges",-300-5v,753491.87,753491.87,250912,502579.87,502579.87,
May 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Riprapping, San Roque Brgy. Road, Bato","Riprapping, San Roque Brgy. Road, Bato",-300-5w,497880,497880,481734.14,16145.86,16145.86,
May 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation, Gogon Bridge Approach","Rehabilitation, Gogon Bridge Approach",300-6a,250000,250000,-,250000,250000,
May 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, Batong Paloway Spillway, San Andres","Construction, Batong Paloway Spillway, San Andres",-300-6b,2911945.24,2911945.24,80,2911865.24,2911865.24,
May 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel",-300-6d,376417.42,376417.42,376417.42,-,-,
May 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Bislig Seawall, San Andres","Construction, Bislig Seawall, San Andres",300-7a,481846.8,481846.8,3580,-,478266.8,
May 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Cabcab Seawall, San Andres","Construction, Cabcab Seawall, San Andres",-300-7c,469432.04,469432.04,469432.04,-,-,
May 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation of SACES Drainage System, Phase II, SA","Rehabilitation of SACES Drainage System, Phase II, SA",-300-7f,-,-,-,-,-,
May 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation of Dugui Wala, San Vicente River Control, Virac","Rehabilitation of Dugui Wala, San Vicente River Control, Virac",-300-7h,194112.8,194112.8,1000,193112.8,193112.8,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.","Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.",300-10,-,-,-,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation, Youth Center","Renovation, Youth Center",-312,484930.73,484930.73,38472,446458.73,446458.73,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,-313,344309.5,344309.5,-2000,344309.5,344309.5,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation of Municipal Mayor's Office, Caramoran","Rehabilitation of Municipal Mayor's Office, Caramoran",-315,293030.14,293030.14,-,291030.14,291030.14,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Freshwater Mineral Resources Mgt and Regulation,Freshwater Mineral Resources Mgt and Regulation,-200-16a,85381,85381,-,85381,85381,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),-200-16b,23003,23003,-,23003,23003,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment of Marine Protected Area (MPA),Establishment of Marine Protected Area (MPA),-200-16c,18260,18260,-,18260,18260,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),-300-17a,98540.85,98540.85,-9040,89500.85,89500.85,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,-200-17b,45763.67,45763.67,41580,4183.67,4183.67,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Orthopedic Building, PHO","Construction of Orthopedic Building, PHO",-300-18a,1000000,1000000,-,1000000,1000000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Mayngaway Water Tank, San Andres","Construction of Mayngaway Water Tank, San Andres",-320,188208.9,188208.9,188208.9,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Purot Stage (Kiosk), Pandan","Construction of Purot Stage (Kiosk), Pandan",8919-300-21,250000,250000,-,250000,250000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Bagumbayan Brgy. Hall, Panganiban","Bagumbayan Brgy. Hall, Panganiban",300-22,121504,121504,121406.2,97.8,97.8,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Manambrag Brgy. Road, San Andres","Concreting Manambrag Brgy. Road, San Andres",300-23,160,160,160,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Codon Brgy Road, San Andres","Concreting Codon Brgy Road, San Andres",300-24,-,-,-,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Marilima Brgy. Road, Virac","Concreting Marilima Brgy. Road, Virac",300-25,-,-,-,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tramline,Tramline,-200-29b,200935.69,200935.69,-,200935.69,200935.69,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Transformer - Capitol,Transformer - Capitol,200-30,240000,240000,-,240000,240000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation Of Quality Control Laboratory Bldg., PEO","Rehabilitation Of Quality Control Laboratory Bldg., PEO",300-32,384420.1,384420.1,381028,3392.1,3392.1,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction of San Andres Covered Court,Construction of San Andres Covered Court,300-33,-,-,-,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Counterpart Fund for Health,Provincial Counterpart Fund for Health,200-34,230408.75,230408.75,210000,20408.75,20408.75,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Other Social Health Programs,Other Social Health Programs,-,106841,106841,61766,45075,45075,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Capitol Compound Offices,Provincial Capitol Compound Offices,-,766487,766487,7980,758507,758507,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment of Social Amelioration Center,Establishment of Social Amelioration Center,-,158331.16,158331.16,11163.2,147167.96,147167.96,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,other Environmental Mgt. Programs and Projects,other Environmental Mgt. Programs and Projects,-,188631.21,188631.21,96853,91778.21,91778.21,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Abaca Rehabilitation Project,Abaca Rehabilitation Project,8911-200-1c,107545,107545,-,107545,107545,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Farm Mechanization (4 Tractors),Farm Mechanization (4 Tractors),-300-1i,240000,240000,-,240000,240000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Crab Grow-Out Sites,Crab Grow-Out Sites,-200-2b,35086.27,35086.27,8316,26770.27,26770.27,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tilapia Hatchery,Tilapia Hatchery,-200-2c,23111,23111,12672,10439,10439,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Panganiban Demo Fishpond,Panganiban Demo Fishpond,-200-2d,62544.31,62544.31,25344,37200.31,37200.31,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction of Fish Pen,Construction of Fish Pen,200-2e,21288.4,21288.4,12672,8616.4,8616.4,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation or Improvement of Tourism Info. Center,Rehabilitation or Improvement of Tourism Info. Center, 8912-200-2,64950.8,64950.8,23900,41050.8,41050.8,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Road Opening, FMR, Guinsaanan, Baras","Road Opening, FMR, Guinsaanan, Baras",8919-200-88,100000,100000,-,100000,100000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Purchase of Post Harvest Facilities,Purchase of Post Harvest Facilities,-200-92p,253788,253788,-,253788,253788,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Repair of Irrigation System,Repair of Irrigation System,-200-92q,96176.9,96176.9,-,96176.9,96176.9,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion of Dialysis Center,Expansion of Dialysis Center,-200-94a,500000,500000,-,500000,500000,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Prov'l Housing Project,Prov'l Housing Project,-200-94b,1500000,1500000,198999.5,1301000.5,1301000.5,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Repair of Bugao Elem. Sch., Phase II","Repair of Bugao Elem. Sch., Phase II",-200-94c,255871.88,255871.88,255871.88,-,-,
May 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Improvement of MRF-Capitol Compound,Improvement of MRF-Capitol Compound,-200-94d,11143,11143,7501.24,3641.76,3641.76,
May 20% Continuing 2011,Total - May 2011 Continuing,Total - May 2011 Continuing,Total - May 2011 Continuing,Total - May 2011 Continuing,-,23717003.4,23717003.4,9253121.85,14463881.55,14463881.55,
June 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Improvement of JMA District Hosp. (Phase II),Improvement of JMA District Hosp. (Phase II),8919-300-1a,1300000,1300000,-,1300000,1300000,
June 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)","Renovation of Technical Section, PHO Compd (Phase II)",-300-1b,850000,850000,8500,841500,841500,
June 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Renov or Rehabilitation Of San Miguel RHU,Renov or Rehabilitation Of San Miguel RHU,-300-1c,825000,-,-,825000,-,
June 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evac. Center, SA","Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evac. Center, SA",-300-2c,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Construction of Sch. Drainage of Dororian E or S cum Evac. Center, Gig.","Construction of Sch. Drainage of Dororian E or S cum Evac. Center, Gig.",300-2e,100000,-,-,100000,-,
June 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Rehabilitation Of SACES Computer Bldg., SA","Rehabilitation Of SACES Computer Bldg., SA",-300-2h,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,Construction or Repair or Rehabilitation Of Sch. Bldgs and Other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),Construction or Repair or Rehabilitation Of Sch. Bldgs and Other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),-300-2j,900000,-,-,900000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Construction Of District I Water Tank, San Miguel","Construction Of District I Water Tank, San Miguel",-300-3a,1000000,-,-,1000000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Construction Of Elevated Water Tank, CNHS Virac","Construction Of Elevated Water Tank, CNHS Virac",-300-3b,250000,250000,790,249210,249210,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Concrete Perimeter Fencing Of Brgy Plaza, Porot, Pandan","Concrete Perimeter Fencing Of Brgy Plaza, Porot, Pandan",-300-4a,130000,-,-,130000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Completion Of Guinobatan Evacuation Center, Bato","Completion Of Guinobatan Evacuation Center, Bato",-300-4b,500000,500000,4472.13,495527.87,495527.87,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Completion Of Taopon Multi-Purpose Hall, Panganiban","Completion Of Taopon Multi-Purpose Hall, Panganiban",-300-4c,120000,-,-,120000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban","Bagumbayan Multi-Purpose Hall (Phase III), Panganiban",-300-4d,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,Construction Of San Andres Covered Court (Phase II),Construction Of San Andres Covered Court (Phase II),-300-4e,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Const Of Palawig Multi-Purpose Hall, SA","Const Of Palawig Multi-Purpose Hall, SA",-300-4f,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation or Conversion Of Bagsakan Center to convert to Day Care Center, Concepcion, Virac","Rehabilitation or Conversion Of Bagsakan Center to convert to Day Care Center, Concepcion, Virac",-300-4g,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"- Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC","- Completion of Public Duplex Toilet at Purok 1 and 4, Valencia,VRC",-300-4h,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation Of Simamla Day Care Center, Virac","Rehabilitation Of Simamla Day Care Center, Virac",-300-4i,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Construction Of Multi-Purpose Hall (Phase I), Batag, Virac","Construction Of Multi-Purpose Hall (Phase I), Batag, Virac",-300-4j,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Renovation Of Multi-Purpose Hall, San Roque, Virac","Renovation Of Multi-Purpose Hall, San Roque, Virac",-300-4k,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation Of Barangay Plaza, Palta, Virac","Rehabilitation Of Barangay Plaza, Palta, Virac",-300-4L,300000,300000,1000,299000,299000,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc","KALAHI CIDDS Counterpart, Bagamanoc",-300-4m,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Bagatabao Bagamanoc Footbridge,Construction of Bagatabao Bagamanoc Footbridge,-,57263.29,57263.29,57263.29,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Isidro, Bagamanoc Drainage System","Construction of San Isidro, Bagamanoc Drainage System",-,39554.56,39554.56,39554.56,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center w or Embankment, San Rafael","Construction of 1 unit Day Care Center w or Embankment, San Rafael",-,31862.69,31862.69,31862.69,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Sta. Mesa","Construction of 1 unit Day Care Center, Sta. Mesa",-,29540.98,29540.98,29540.98,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Quigaray Drainage System,Construction of Quigaray Drainage System,-,30077.09,30077.09,30077.09,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Antipolo Drainage System,Construction of Antipolo Drainage System,-,24847.71,24847.71,24847.71,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,-,25436.46,25436.46,25436.46,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Magsaysay BR w or Drainage Canal,Improvement of Magsaysay BR w or Drainage Canal,-,8930.39,8930.39,8930.39,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Salvacion BR w or Slope Protection,Improvement of Salvacion BR w or Slope Protection,-,6199.68,6199.68,6199.68,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Cahan Spillway w or Slope Protection and Embankment,Construction of Cahan Spillway w or Slope Protection and Embankment,-,76508.39,76508.39,76508.39,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Vicente Water System, Level 2","Construction of San Vicente Water System, Level 3",-,77108.96,77108.96,77108.96,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Bacak Spillway w or Slope Protection and Embankment,Const of Bacak Spillway w or Slope Protection and Embankment,-,41037.56,41037.56,41037.56,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Quezon","Construction of 1 unit Day Care Center, Quezon",-,29754.71,29754.71,29754.71,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Sagrada Drainage System,Const of Sagrada Drainage System,-,21877.53,21877.53,21877.53,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran",-300-4n,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Camburo Flood Control,Construction of Camburo Flood Control,-,135819,-,-,135819,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Tucao Flood Control,Construction of Tucao Flood Control,-,119081,-,-,119081,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Maysuram Flood Control,Construction of Maysuram Flood Control,-,101241,-,-,101241,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Bulalacao Flood Control,Construction of Bulalacao Flood Control,-,15997,-,-,15997,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","Construction of FMR w or Box Culvert, Embankment and Slope Protection","Construction of FMR w or Box Culvert, Embankment and Slope Protection",-,14425,-,-,14425,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Inalmasinan Flood Control,Construction of Inalmasinan Flood Control,-,113437,-,-,113437,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga",300-4o,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga",Construction of Water System,Construction of Water System,-,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto",8919-300-4p,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Purchase of Disaster Alarm or Warning System,-,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of Plaza, Cabcab, San Andres",-300-4q,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Road Opening Jct Of Taopon - Tamahoyan FTMR, Pang.",300-5,5000000,5000000,4892386.29,107613.71,107613.71,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading Of Antipolo - Casoocan Road, Virac",300-6,2000000,2000000,23052.03,1976947.97,1976947.97,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Sipi Road Opening, Bato",300-7,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling Of Kagnipa - Balangonan FTMR, Pandan",300-8,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of Sta. Elena Patagan FTMR, San Mig.",300-9,4750000,4750000,30581.33,4719418.67,4719418.67,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Regravelling Of Casoocan - Magnesia Road, Virac",300-10,1500000,1500000,13646.64,1486353.36,1486353.36,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Concreting Of SIV to Palnab del Sur BR (Phase II),300-11,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of San Juan to District 2 BR, San Miguel",300-12,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of Oguis - Tilis Road, Bato",300-13,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of Comagaycay Rd, SA",300-14,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of Pagsangahan BR, San Miguel",300-15,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of BR P. Arcilla St., Rawis, VRC",300-16,400000,400000,3000,397000,397000,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of BR, JMA Poniton, VRC",300-17,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of BR, Sogod Simamla, VRC",300-18,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of BR, Gogon Centro, VRC",300-19,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading Of BR, Palnab del Sur (Sabang), VRC",300-20,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of Pathway, Ibong Sapa, VRC",300-21,83816,-,-,83816,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of PR, Batalay, Bato",300-22,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of Salvacion PR, Bagamanoc",300-23,400000,400000,2500,397500,397500,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Pajo Baguio, VRC",300-24,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Pajo San Isidro, VRC",300-25,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Antipolo del Norte, VRC",300-26,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Antipolo del Sur, VRC",300-27,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Igang VRC",-300-29g,800000,-,-,800000,-,
