psgc_brgy,water_sealed,closed_pit,open_pit,others_ pails_etc,none
175303015,303,54,83,0,105
175304001,4,1,4,12,109
175304002,3,5,6,8,81
175304003,59,172,168,278,945
175304005,2,12,31,31,208
175304006,12,17,20,29,419
175304007,8,6,16,30,165
175304008,43,147,244,289,723
175304009,4,13,11,66,165
175304011,8,12,30,15,105
175304012,1,1,0,6,31
175304019,2,5,4,7,82
175304020,4,5,7,31,293
175304021,12,12,18,19,425
175304022,13,36,87,54,48
175304024,46,13,7,3,8
175304025,74,15,2,2,8
175304026,36,14,14,5,19
175304027,32,14,17,2,47
175304028,31,31,48,15,7
175304029,29,24,35,25,152
175305001,143,33,73,27,263
175305002,60,56,64,73,79
175305003,6,3,11,19,267
175305004,65,48,124,77,381
175305005,24,10,18,34,162
175305006,113,92,47,34,302
175305007,73,21,34,68,192
175305008,73,45,27,79,184
175305009,3,2,8,52,130
175305010,704,176,136,53,276
175305011,34,35,59,50,227
175305012,35,17,23,16,195
175305013,1058,580,198,215,534
175305014,69,28,107,98,162
175305015,12,12,9,11,306
175305016,21,22,42,21,232
175305017,106,28,57,90,370
175305018,5,4,12,28,158
175305019,26,33,31,9,164
175305020,17,3,7,19,129
175305021,29,18,38,19,205
175305022,89,42,112,88,475
175306001,85,40,34,2,162
175306002,186,94,102,3,338
175306003,341,62,125,2,235
175306004,160,125,67,4,227
175306005,27,40,28,0,384
175306006,310,142,164,7,425
175306010,218,77,167,5,230
175306011,93,114,43,4,310
175306012,110,54,58,13,235
175306013,148,100,48,1,253
175306014,77,19,23,13,182
175306015,607,177,110,17,363
175306017,453,40,11,10,127
175306018,321,36,8,17,23
175306023,131,113,119,36,229
175306024,131,111,86,36,119
175306025,105,98,30,4,231
175306026,53,21,14,4,110
175307001,99,36,20,0,34
175307002,198,58,76,9,168
175307004,229,50,112,3,38
175307005,145,3,7,7,107
175307006,128,3,0,0,103
175307007,200,30,7,3,42
175307008,82,46,20,0,30
175307009,393,18,11,9,182
175307010,72,29,7,3,29
175307011,95,11,75,35,26
175307012,496,24,14,7,87
175307013,134,3,13,2,26
175307014,64,13,22,2,37
175307015,136,30,1,14,66
175308001,59,7,2,0,5
175308002,28,3,0,0,0
175308003,48,6,1,0,2
175308004,30,2,0,0,3
175308005,24,0,0,0,0
175308006,149,44,4,0,52
175308007,59,18,7,0,22
175308008,58,11,1,0,13
175308009,119,64,1,0,14
175308010,42,9,5,0,0
175308011,135,43,6,0,22
175308012,43,1,3,0,1
175309001,11,4,0,2,123
175309002,212,54,36,6,116
175309003,290,102,10,8,144
175309004,38,26,36,24,74
175309005,154,59,57,230,68
175309006,48,38,29,77,205
175309008,103,22,2,36,96
175309009,200,20,30,6,61
175309010,228,37,45,5,155
175309011,118,57,11,7,162
175309012,16,13,16,43,75
175309013,62,37,13,3,161
175309016,447,38,108,22,134
175309017,116,45,5,7,6
175309018,134,28,8,0,7
175309019,124,7,0,2,4
175309020,384,35,24,19,58
175309022,187,14,15,32,75
175309023,201,109,26,5,130
175309024,653,11,92,12,423
175309025,42,3,7,118,121
175309026,217,30,28,3,240
175309032,304,15,8,1,45
175310001,78,73,11,10,18
175310002,73,21,7,0,6
175310003,208,48,22,5,41
175310004,57,49,6,1,20
175310005,96,58,30,5,85
175310006,60,34,59,1,13
175310007,51,58,10,1,16
175310008,102,51,12,1,19
175310009,24,100,30,8,44
175310010,273,83,24,15,48
175310011,108,114,99,0,13
175310012,96,54,63,0,20
175310014,152,157,14,3,15
175310015,193,124,7,1,21
175310016,297,96,30,12,194
175310017,81,21,5,1,16
175310018,40,39,6,1,1
175311001,147,106,5,1,98
175311002,169,30,4,0,95
175311003,30,9,5,2,20
175311004,78,130,17,0,27
175311005,87,36,0,1,82
175311006,52,28,3,2,71
175311007,225,23,4,6,114
175311008,203,36,14,4,163
175311009,237,59,43,3,89
175311010,115,118,101,4,64
175311011,121,78,5,1,133
