psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
175201008,22,39,301,140,5,16,0,0
175201010,2,1,42,98,1,1,0,0
175201011,2,0,65,16,0,0,0,0
175201012,178,125,23,37,7,89,1,0
175201013,6,4,43,104,0,0,0,0
175201014,200,42,13,41,5,9,0,0
175201015,9,168,25,32,5,0,0,0
175201016,1,0,6,192,0,1,0,0
175201017,1,0,1,91,0,0,0,0
175201018,0,0,5,64,0,0,0,0
175201019,196,159,14,11,1,10,0,0
175201020,1,11,44,24,0,32,0,0
175201021,33,23,175,140,3,10,0,0
175201022,57,51,126,95,1,48,0,0
175201023,2,4,61,223,0,0,0,0
175201024,58,3,140,67,1,2,0,0
175201025,32,40,57,126,29,13,0,1
175201026,17,20,2,9,3,178,1,1
175201027,10,240,2,8,3,87,0,0
175201028,6,148,0,9,1,13,0,0
175201029,246,13,178,116,0,0,0,0
175202001,3,12,153,103,91,1,0,1
175202003,2,26,15,19,10,83,0,0
175202004,6,24,167,271,3,205,2,0
175202005,24,59,33,62,2,122,0,1
175202006,4,29,30,51,18,47,0,0
175202007,20,27,267,344,4,30,0,0
175202008,28,42,393,257,103,8,0,0
175202009,13,15,262,152,85,2,0,3
175202010,1,18,14,188,33,126,1,2
175202011,19,48,230,216,234,21,0,0
175202012,14,170,60,72,205,3,0,0
175202013,27,19,142,101,130,2,0,14
175202014,28,68,221,171,71,35,1,29
175203001,55,228,45,57,82,3,0,0
175203002,1,215,2,1,0,1,0,0
175203003,10,20,1,2,26,7,5,71
175203004,15,290,9,27,0,0,0,2
175203005,1,40,31,30,10,243,5,0
175203006,41,187,128,117,41,42,0,0
175203007,61,333,11,6,29,0,0,0
175203008,13,172,3,17,7,30,4,54
175203009,14,201,26,32,28,212,0,1
175203010,31,89,8,10,3,2,0,4
175203011,86,25,201,87,35,0,0,0
175203012,12,52,271,322,7,16,0,0
175203013,6,140,12,70,66,15,0,1
175203014,10,13,82,160,5,59,1,0
175203015,38,229,3,22,33,626,7,4
175203016,3,71,8,17,99,71,2,7
175203017,28,149,104,136,88,45,0,50
175203018,11,18,63,59,1,0,0,0
175203019,155,132,84,105,2,2,0,0
175203020,75,69,41,54,6,58,0,0
175203021,4,96,25,17,35,0,0,0
175203022,11,19,31,44,160,3,0,1
175203023,18,13,59,23,13,0,0,0
175203024,31,301,20,23,63,8,0,0
175203025,9,33,49,99,104,23,0,21
175203026,22,8,109,39,14,0,0,0
175203027,1,7,2,32,63,6,1,1
175203028,2,31,23,55,25,94,0,1
175203029,27,39,26,24,26,27,0,0
175203031,8,161,15,30,1,36,0,0
175203032,69,149,7,13,25,1,0,1
175203033,82,211,5,2,34,50,1,0
175203034,238,138,28,49,11,3,0,4
175203035,45,93,2,12,9,3,0,0
175203036,97,340,13,11,1,0,0,0
175203037,6,153,13,25,66,1,0,1
175204001,10,59,5,9,2,31,0,0
175204002,15,264,17,140,19,45,0,0
175204003,8,418,11,40,69,235,0,1
175204005,0,8,0,23,14,128,3,0
175204006,25,84,49,90,36,22,0,0
175204007,149,120,19,46,13,15,0,0
175204008,2,45,6,77,7,2,0,0
175204009,53,194,40,50,6,34,3,0
175204010,45,86,2,37,8,63,0,0
175204011,22,241,35,127,48,162,4,0
175204012,287,198,3,35,12,16,0,0
175204013,9,58,1,0,2,36,0,0
175204014,1,7,0,8,4,65,1,0
175204015,18,105,24,86,165,114,14,20
175204017,82,418,18,126,64,127,11,5
175205001,22,44,31,98,7,0,0,0
175205002,211,132,60,105,79,1,0,1
175205003,217,241,48,64,29,3,0,0
175205004,4,9,2,6,163,0,0,0
175205005,59,67,10,30,9,5,0,0
175205006,133,47,27,148,0,14,0,18
175205007,92,34,76,107,20,23,0,0
