region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
II (Cagayan Valley),Cagayan,Penablanca,4,1,1,2,7,4,3,2,5,7,2,5,6,1,11,4,11,8,14,20,12,18,16,15,13,192,
II (Cagayan Valley),Cagayan,Piat,-,12,2,2,2,5,1,3,-,1,3,2,2,-,-,1,-,5,4,2,3,7,13,-,10,80,
II (Cagayan Valley),Cagayan,Rizal,-,-,-,-,-,1,2,10,5,8,-,-,2,-,-,1,1,2,1,-,1,-,1,-,-,35,
II (Cagayan Valley),Cagayan,Sanchez-Mira,32,8,24,20,15,11,17,22,11,6,8,26,17,18,31,29,16,16,27,34,23,37,46,42,30,566,
II (Cagayan Valley),Cagayan,Santa Ana,3,1,8,6,7,2,3,3,16,8,5,10,7,6,4,1,7,8,11,9,10,4,8,7,10,164,
II (Cagayan Valley),Cagayan,Santa Praxedes,-,-,-,-,1,-,1,-,-,2,-,3,-,3,-,2,1,2, ,5,1,3,3,5,7,39,
II (Cagayan Valley),Cagayan,Santa Teresita,10,6,1,2,4,6,1,2,11,2,4,3,2,1,14,14,4,-,5,4,2,11,14,16,10,149,
II (Cagayan Valley),Cagayan,Santo Nino (Faire),-,1,-,1,1,2,3,2,7,3,-,3,6,5,-,-,-,3,2,2,1,4,1,1,3,51,
II (Cagayan Valley),Cagayan,Solana,4,11,1,6,5,5,3,4,3,10,1,10,4,1,16,2,15,13,16,12,15,16,22,23,27,245,
II (Cagayan Valley),Cagayan,Tuao,5,8,9,15,7,4,5,10,15,3,13,6,3,8,7,2,14,7,11,12,7,18,13,23,16,241,
II (Cagayan Valley),Cagayan,Tuguegarao (Capital),30,62,39,65,36,72,59,55,58,40,37,39,66,67,109,78,108,114,201,134,155,175,135,228,239,2401,
II (Cagayan Valley),Cagayan,Not Reported,-,1,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,7,
II (Cagayan Valley),Isabela,Alicia,10,18,18,36,22,18,21,8,26,36,36,18,17,22,14,20,24,16,34,44,25,46,47,44,52,672,
II (Cagayan Valley),Isabela,Angadanan,5,4,4,4,9,9,7,13,8,18,9,15,8,3,7,15,19,17,13,12,7,9,16,10,18,259,
II (Cagayan Valley),Isabela,Aurora,4,5,11,9,11,13,12,14,18,24,31,6,8,11,21,17,26,10,20,28,30,22,31,27,19,428,
II (Cagayan Valley),Isabela,Benito Soliven,4,2,-,-,2,1,1,-,2,-,-,3,-,4,1,1,2,7,1,1,4,3,6,3,1,49,
II (Cagayan Valley),Isabela,Burgos,2,-,2,5,4,7,8,10,18,7,6,12,12,22,6,29,16,4,22,18,10,5,38,29,19,311,
II (Cagayan Valley),Isabela,Cabagan,9,7,11,1,17,8,22,4,2,3,1,4,15,9,23,7,6,12,12,13,23,20,24,34,29,316,
II (Cagayan Valley),Isabela,Cabatuan,15,21,14,29,23,22,28,25,33,33,22,24,16,11,13,7,21,48,37,29,30,52,52,38,28,671,
II (Cagayan Valley),Isabela,Cauayan,44,29,26,24,25,47,46,27,54,41,10,22,34,32,50,30,39,35,63,67,52,79,96,92,81,1145,
II (Cagayan Valley),Isabela,City of Santiago,45,43,65,58,51,31,83,43,56,72,57,93,49,72,77,46,101,88,105,119,81,127,128,124,121,1935,
II (Cagayan Valley),Isabela,Cordon,9,2,10,13,10,7,23,14,6,13,14,6,10,11,5,20,14,14,18,8,10,13,14,16,23,303,
II (Cagayan Valley),Isabela,Delfin Albano (Magsaysay),-,3,1,3,1,-,-,-,2,9,10,17,8,12,14,10,22,19,4,19,20,26,27,27,38,292,
