particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
          Region IX - WESTERN MINDANAO,          Region IX - WESTERN MINDANAO,791200,88847,27108,0,0,0,64084,0,0,727116,88847,27108,0,0,0,0,0,0,1
               Basilan State College,               Basilan State College,31696,5374,3012,0,0,0,2620,0,0,29076,5374,3012,0,0,0,0,0,0,0
               J. H. Cerilles State College,               J. H. Cerilles State College,26905,4977,3012,0,0,0,2143,0,0,24762,4977,3012,0,0,0,0,0,0,0
               Jose Rizal Memorial State College,               Jose Rizal Memorial State College,112836,14583,3012,0,0,0,9217,0,0,103619,14583,3012,0,0,0,0,0,0,0
               MSU-Tawi-Tawi College of Technology,               MSU-Tawi-Tawi College of Technology,,,,,,,,,,,,,,,,,,,
                     and Oceanography,                     and Oceanography,221858,11407,3012,0,0,0,17937,0,0,203921,11407,3012,0,0,0,0,0,0,0
               Sulu State College,               Sulu State College,36774,3255,3012,0,0,0,2982,0,0,33792,3255,3012,0,0,0,0,0,0,0
               Tawi-Tawi Regional Agricultural College,               Tawi-Tawi Regional Agricultural College,30259,5028,3012,0,0,0,2489,0,0,27770,5028,3012,0,0,0,0,0,0,0
               Western Mindanao State University,               Western Mindanao State University,219296,30919,3012,0,0,0,17758,0,0,201538,30919,3012,0,0,0,0,0,0,0
               Zamboanga City State Polytechnic College,               Zamboanga City State Polytechnic College,49538,4282,3012,0,0,0,4017,0,0,45521,4282,3012,0,0,0,0,0,0,0
               Zamboanga State College of Marine,               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,                     Sciences and Technology,62038,9022,3012,0,0,0,4921,0,0,57117,9022,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,          Region X - NORTHERN MINDANAO,708528,143046,21084,0,0,0,58239,0,0,650289,143046,21084,0,0,0,0,0,0,1
