psgc_muni,pov_muni_year,pov_muni_measure,estimate,standard_error,coefficient_of_variation
12812000,2003,Incidence,17.12,2.49,14.5
12813000,2003,Incidence,48.41,8.18,16.9
12814000,2003,Incidence,55.14,10.47,19
12815000,2003,Incidence,29.3,4.61,15.7
12816000,2003,Incidence,27.85,4.06,14.6
12817000,2003,Incidence,34.2,3.86,11.3
12818000,2003,Incidence,35.12,3.92,11.2
12819000,2003,Incidence,38.4,4.86,12.7
12820000,2003,Incidence,20.17,3.41,16.9
12821000,2003,Incidence,30.3,3.59,11.8
12822000,2003,Incidence,31.79,4.11,12.9
12823000,2003,Incidence,36.77,4.33,11.8
12901000,2003,Incidence,45.23,7.14,15.8
12902000,2003,Incidence,10.99,3.71,33.8
12903000,2003,Incidence,24.71,4.28,17.3
12904000,2003,Incidence,17.12,3.25,19
12905000,2003,Incidence,25.84,3.81,14.7
12907000,2003,Incidence,15.15,3.44,22.7
12908000,2003,Incidence,55.66,7.93,14.2
12906000,2003,Incidence,16.29,2.8,17.2
12934000,2003,Incidence,13.6,2.39,17.6
12909000,2003,Incidence,26.76,4.53,16.9
12910000,2003,Incidence,34.21,6.93,20.3
12911000,2003,Incidence,12.56,5.07,40.4
12912000,2003,Incidence,28.37,4.97,17.5
12913000,2003,Incidence,38.19,6.75,17.7
12914000,2003,Incidence,22.74,2.83,12.4
12915000,2003,Incidence,35.9,7.81,21.8
12916000,2003,Incidence,24.14,4.54,18.8
12917000,2003,Incidence,41.21,11.49,27.9
12918000,2003,Incidence,14.28,4.2,29.4
12919000,2003,Incidence,17.13,3.97,23.2
12920000,2003,Incidence,30.63,4.12,13.5
12921000,2003,Incidence,23.63,5.16,21.8
12922000,2003,Incidence,14.68,3.44,23.4
12923000,2003,Incidence,18.53,5,27
12924000,2003,Incidence,20.35,2.5,12.3
12925000,2003,Incidence,19.79,3.25,16.4
12926000,2003,Incidence,11.64,2.67,22.9
12927000,2003,Incidence,20.01,3.86,19.3
12928000,2003,Incidence,17.77,3.13,17.6
12929000,2003,Incidence,37.23,9.92,26.6
12930000,2003,Incidence,17.05,2.88,16.9
12931000,2003,Incidence,70.71,15.4,21.8
12932000,2003,Incidence,46.68,10.87,23.3
12933000,2003,Incidence,25.36,3.62,14.3
13301000,2003,Incidence,25.85,2.69,10.4
13302000,2003,Incidence,30.48,5.2,17.1
13303000,2003,Incidence,20.54,2.97,14.5
13304000,2003,Incidence,85.5,9.61,11.2
13305000,2003,Incidence,25.07,3.32,13.2
13306000,2003,Incidence,31.13,3.73,12
13307000,2003,Incidence,19.67,2.73,13.9
13308000,2003,Incidence,43.17,9.9,22.9
13309000,2003,Incidence,26.19,4.01,15.3
13314000,2003,Incidence,14.47,2.75,19
13310000,2003,Incidence,29.91,3.72,12.4
13311000,2003,Incidence,26.17,3.58,13.7
13312000,2003,Incidence,27.19,5.22,19.2
13313000,2003,Incidence,38.79,4.47,11.5
13315000,2003,Incidence,47.93,6.56,13.7
13316000,2003,Incidence,19.8,3.02,15.3
13317000,2003,Incidence,20.49,3.46,16.9
13318000,2003,Incidence,73.13,9.52,13
13319000,2003,Incidence,35.18,5.31,15.1
13320000,2003,Incidence,37.22,5.47,14.7
