city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Pangantucan,Councilor,"Calunod, Ben Baliquig",Bencals,Bangon Pilipinas Party,8444
Pangantucan,Councilor,"Ofngol, Diosdado Lumogda",Bobo,Bangon Pilipinas Party,8398
Pangantucan,Councilor,"Franco, Marlene Libredo",Franco,Bangon Pilipinas Party,8162
Pangantucan,Councilor,"Barrio, Bartolome Basa",Omek,Bangon Pilipinas Party,7803
Quezon,Mayor,"Gue, Gregorio Lloren",Gorio,Bangon Pilipinas Party,21721
Quezon,Vice-Mayor,"Durotan, Joseph Sr. Tuico",Dodong,Bangon Pilipinas Party,19834
Quezon,Councilor,"Leonardo, Teresita Beltran",Titit,Independent,18306
Quezon,Councilor,"Baguio, Benito Ungab",Ben,Bangon Pilipinas Party,17317
Quezon,Councilor,"Areja, Jerly Longakit",Jay,Bangon Pilipinas Party,14861
Quezon,Councilor,"Baculina, Corazon Magbanua",Inday,Bangon Pilipinas Party,14094
Quezon,Councilor,"Neri, Rodrigo Jr. Nietes",Odring,Independent,13900
Quezon,Councilor,"Antiga, Rechie Baliguat",Idol,Bangon Pilipinas Party,13713
Quezon,Councilor,"Bardon, Nilo Palahang",Nil,Independent,12443
Quezon,Councilor,"Repalda, Myrna Dotillos",Myrna,Independent,12319
San Fernando,Mayor,"Edma, Levi Sr. Ca",Dodong,Bangon Pilipinas Party,15230
San Fernando,Vice-Mayor,"Catalan, Norberto Inson",Dodoy,Bangon Pilipinas Party,12595
San Fernando,Councilor,"Yeke, Rogelio Cudal",Dodoy,Bangon Pilipinas Party,10605
San Fernando,Councilor,"Edma, Levi Jr. Solante",Jun,Bangon Pilipinas Party,9964
San Fernando,Councilor,"Taboclaon, Richard Veloz",Bobong,Bangon Pilipinas Party,8828
San Fernando,Councilor,"Cala, Lito Labesores",Tolits,Independent,8238
San Fernando,Councilor,"Villaflores, Florefis Hoybia",Flor,Independent,8174
San Fernando,Councilor,"Lauron, Cesaria Dingding",Saning,Bangon Pilipinas Party,8059
San Fernando,Councilor,"Dy, Dionisio Babaring",Insek,Aksyon Democratic,7952
San Fernando,Councilor,"Abayato, Wainwright Manayaga",Docboy,Bangon Pilipinas Party,6784
Sumilao,Mayor,"Baula, Rey Beleno",Rey,Bangon Pilipinas Party,6016
Sumilao,Vice-Mayor,"Ellovido, Anecito Vacalares",Lolong,Bangon Pilipinas Party,5282
Sumilao,Councilor,"Del Rosario, Gary Alambatang",Gar,Bangon Pilipinas Party,5990
Sumilao,Councilor,"Dela Cerna, Corazon Pagpaguitan",Inday,Bangon Pilipinas Party,5818
Sumilao,Councilor,"Dela Cerna, Andres Payagon",Nonoy,Independent,5534
Sumilao,Councilor,"Baula, George Jeremy Belita",Jim-Jim,Bangon Pilipinas Party,5308
Sumilao,Councilor,"Leparto, Jhun Dhee Catian",Jhun Dhee,Bangon Pilipinas Party,5231
Sumilao,Councilor,"Sale, Jonas Saripa",Jonas,Independent,5030
Sumilao,Councilor,"Okit, Emily Noval",Emy,Bangon Pilipinas Party,4694
Sumilao,Councilor,"Javier, Nelly Daigon",Nel,Bangon Pilipinas Party,4303
Talakag,Mayor,"Macapayag, Nestor -",Bebe Haba,Bangon Pilipinas Party,14581
Talakag,Vice-Mayor,"Factura, Vergito Ociones",Gito,Bangon Pilipinas Party,14193
Talakag,Councilor,"Noble, Amado Jr. Zayas",Junjun,Independent,14442
Talakag,Councilor,"Amatiaga, Aileen Balones",Ai-Ai,Independent,10728
Talakag,Councilor,"Monje, Angelo Obod",Edoy,Aksyon Democratic,9477
Talakag,Councilor,"Neri, Samuel Maandig",Sam,Independent,8842
Talakag,Councilor,"Tianzon, Romeo Blanco",Randy,Independent,8706
Talakag,Councilor,"Macapayag, Ryan Noble",Rytax,Bangon Pilipinas Party,8609
Talakag,Councilor,"Taqueban, Carlos De Castro",Caloy,Bangon Pilipinas Party,8370
Talakag,Councilor,"Pacu, Abdon Villanueva",Tsip,Independent,8123
Valencia City,City Mayor,"Galario, Jose Jr. Magallanes",Jun,Aksyon Democratic,30516
