region,province,city_or_municipality,2012
III (Central Luzon),Nueva Ecija,San Leonardo,3
III (Central Luzon),Nueva Ecija,Santa Rosa,0
III (Central Luzon),Nueva Ecija,Santo Domingo,0
III (Central Luzon),Nueva Ecija,Talavera,2
III (Central Luzon),Nueva Ecija,Talugtug,0
III (Central Luzon),Nueva Ecija,Zaragoza,1
III (Central Luzon),Nueva Ecija,Total Nueva Ecija,38
III (Central Luzon),Pampanga,Angeles City,7
III (Central Luzon),Pampanga,Apalit,0
III (Central Luzon),Pampanga,Arayat,3
III (Central Luzon),Pampanga,Bacolor,0
III (Central Luzon),Pampanga,Candaba,1
III (Central Luzon),Pampanga,Floridablanca,3
III (Central Luzon),Pampanga,Guagua,2
III (Central Luzon),Pampanga,Lubao,4
III (Central Luzon),Pampanga,Mabalacat,4
III (Central Luzon),Pampanga,Macabebe,1
III (Central Luzon),Pampanga,Magalang,1
III (Central Luzon),Pampanga,Masantol,1
III (Central Luzon),Pampanga,Mexico,0
III (Central Luzon),Pampanga,Minalin,2
III (Central Luzon),Pampanga,Porac,0
III (Central Luzon),Pampanga,San Fernando (Capital),6
III (Central Luzon),Pampanga,San Luis,0
III (Central Luzon),Pampanga,San Simon,1
III (Central Luzon),Pampanga,Santa Ana,0
III (Central Luzon),Pampanga,Santa Rita,1
III (Central Luzon),Pampanga,Santo Tomas,0
III (Central Luzon),Pampanga,Sasmuan (Sexmoan),2
III (Central Luzon),Pampanga,Total Pampanga,39
III (Central Luzon),Tarlac,Anao,0
III (Central Luzon),Tarlac,Bamban,0
III (Central Luzon),Tarlac,Camiling,4
III (Central Luzon),Tarlac,Capas,0
III (Central Luzon),Tarlac,Concepcion,0
III (Central Luzon),Tarlac,Gerona,2
III (Central Luzon),Tarlac,La Paz,1
III (Central Luzon),Tarlac,Mayantoc,1
III (Central Luzon),Tarlac,Moncada,1
III (Central Luzon),Tarlac,Paniqui,1
III (Central Luzon),Tarlac,Pura,0
III (Central Luzon),Tarlac,Ramos,1
III (Central Luzon),Tarlac,San Clemente,1
III (Central Luzon),Tarlac,San Manuel,0
III (Central Luzon),Tarlac,Santa Ignacia,5
III (Central Luzon),Tarlac,City of Tarlac (Capital),3
III (Central Luzon),Tarlac,Victoria,0
III (Central Luzon),Tarlac,San Jose,0
III (Central Luzon),Tarlac,Total Tarlac,20
III (Central Luzon),Zambales,Botolan,0
III (Central Luzon),Zambales,Cabangan,0
III (Central Luzon),Zambales,Candelaria,0
III (Central Luzon),Zambales,Castillejos,2
III (Central Luzon),Zambales,Iba (Capital),0
III (Central Luzon),Zambales,Masinloc,0
III (Central Luzon),Zambales,Olongapo City,1
III (Central Luzon),Zambales,Palauig,0
III (Central Luzon),Zambales,San Antonio,0
III (Central Luzon),Zambales,San Felipe,0
III (Central Luzon),Zambales,San Marcelino,0
III (Central Luzon),Zambales,San Narciso,0
III (Central Luzon),Zambales,Santa Cruz,2
III (Central Luzon),Zambales,Subic,1
III (Central Luzon),Zambales,Total Zambales,6
III (Central Luzon),Aurora,Baler  (Capital),1
III (Central Luzon),Aurora,Casiguran,0
III (Central Luzon),Aurora,Dilasag,0
III (Central Luzon),Aurora,Dinalungan,0
III (Central Luzon),Aurora,Dingalan,0
III (Central Luzon),Aurora,Dipaculao,0
III (Central Luzon),Aurora,Maria Aurora,1
III (Central Luzon),Aurora,San Luis,0
III (Central Luzon),Aurora,Total Aurora,2
III (Central Luzon),No City/Municipality Reported,No City/Municipality Reported,0
III (Central Luzon),Total Central Luzon,Total Central Luzon,180
IV-A (CALABARZON),Batangas,Agoncillo,2
IV-A (CALABARZON),Batangas,Alitagtag,0
IV-A (CALABARZON),Batangas,Balayan,0
IV-A (CALABARZON),Batangas,Balete,0
IV-A (CALABARZON),Batangas,Batangas City (Capital),5
IV-A (CALABARZON),Batangas,Bauan,2
IV-A (CALABARZON),Batangas,Calaca,0
IV-A (CALABARZON),Batangas,Calatagan,0
IV-A (CALABARZON),Batangas,Cuenca,0
IV-A (CALABARZON),Batangas,Ibaan,1
IV-A (CALABARZON),Batangas,Laurel,1
IV-A (CALABARZON),Batangas,Lemery,0
IV-A (CALABARZON),Batangas,Lian,0
IV-A (CALABARZON),Batangas,Lipa City,9
IV-A (CALABARZON),Batangas,Lobo,3
IV-A (CALABARZON),Batangas,Mabini,0
IV-A (CALABARZON),Batangas,Malvar,0
IV-A (CALABARZON),Batangas,Mataas Na Kahoy,0
IV-A (CALABARZON),Batangas,Nasugbu,4
IV-A (CALABARZON),Batangas,Padre Garcia,2
IV-A (CALABARZON),Batangas,Rosario,1
IV-A (CALABARZON),Batangas,San Jose,0
IV-A (CALABARZON),Batangas,San Juan,0
IV-A (CALABARZON),Batangas,San Luis,0
IV-A (CALABARZON),Batangas,San Nicolas,0
IV-A (CALABARZON),Batangas,San Pascual,1
IV-A (CALABARZON),Batangas,Santa Teresita,0
IV-A (CALABARZON),Batangas,Santo Tomas,5
IV-A (CALABARZON),Batangas,Taal,0
IV-A (CALABARZON),Batangas,Talisay,1
IV-A (CALABARZON),Batangas,Tanauan,2
IV-A (CALABARZON),Batangas,Taysan,0
IV-A (CALABARZON),Batangas,Tingloy,0
IV-A (CALABARZON),Batangas,Tuy,0
IV-A (CALABARZON),Batangas,Total Batangas,39
IV-A (CALABARZON),Cavite,Alfonso,0
IV-A (CALABARZON),Cavite,Amadeo,0
IV-A (CALABARZON),Cavite,Bacoor,5
IV-A (CALABARZON),Cavite,Carmona,2
IV-A (CALABARZON),Cavite,Cavite City,2
IV-A (CALABARZON),Cavite,Dasmarinas,14
IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,0
IV-A (CALABARZON),Cavite,General Trias,1
IV-A (CALABARZON),Cavite,Imus,15
IV-A (CALABARZON),Cavite,Indang,2
IV-A (CALABARZON),Cavite,Kawit,1
IV-A (CALABARZON),Cavite,Magallanes,0
IV-A (CALABARZON),Cavite,Maragondon,0
IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),1
IV-A (CALABARZON),Cavite,Naic,2
IV-A (CALABARZON),Cavite,Noveleta,0
IV-A (CALABARZON),Cavite,Rosario,1
IV-A (CALABARZON),Cavite,Silang,7
IV-A (CALABARZON),Cavite,Tagaytay City,1
IV-A (CALABARZON),Cavite,Tanza,6
IV-A (CALABARZON),Cavite,Ternate,0
IV-A (CALABARZON),Cavite,Trece Martires City (Capital),2
IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,3
IV-A (CALABARZON),Cavite,Total Cavite,65
IV-A (CALABARZON),Laguna,Alaminos,1
IV-A (CALABARZON),Laguna,Bay,1
IV-A (CALABARZON),Laguna,Binan,4
IV-A (CALABARZON),Laguna,Cabuyao,16
IV-A (CALABARZON),Laguna,Calamba,11
IV-A (CALABARZON),Laguna,Calauan,4
IV-A (CALABARZON),Laguna,Cavinti,0
IV-A (CALABARZON),Laguna,Famy,1
IV-A (CALABARZON),Laguna,Kalayaan,1
IV-A (CALABARZON),Laguna,Liliw,0
IV-A (CALABARZON),Laguna,Los Banos,0
IV-A (CALABARZON),Laguna,Luisiana,0
IV-A (CALABARZON),Laguna,Lumban,0
IV-A (CALABARZON),Laguna,Mabitac,0
IV-A (CALABARZON),Laguna,Magdalena,0
IV-A (CALABARZON),Laguna,Majayjay,0
IV-A (CALABARZON),Laguna,Nagcarlan,0
IV-A (CALABARZON),Laguna,Paete,0
IV-A (CALABARZON),Laguna,Pagsanjan,1
IV-A (CALABARZON),Laguna,Pakil,0
IV-A (CALABARZON),Laguna,Pangil,1
IV-A (CALABARZON),Laguna,Pila,1
IV-A (CALABARZON),Laguna,Rizal,0
IV-A (CALABARZON),Laguna,San Pablo City,4
IV-A (CALABARZON),Laguna,San Pedro,11
IV-A (CALABARZON),Laguna,Santa Cruz (Capital),1
IV-A (CALABARZON),Laguna,Santa Maria,0
IV-A (CALABARZON),Laguna,Santa Rosa,9
IV-A (CALABARZON),Laguna,Siniloan,0
IV-A (CALABARZON),Laguna,Victoria,1
IV-A (CALABARZON),Laguna,Total Laguna,68
IV-A (CALABARZON),Quezon,Agdangan,0
IV-A (CALABARZON),Quezon,Alabat,0
IV-A (CALABARZON),Quezon,Atimonan,1
IV-A (CALABARZON),Quezon,Buenavista,1
IV-A (CALABARZON),Quezon,Burdeos,0
IV-A (CALABARZON),Quezon,Calauag,0
IV-A (CALABARZON),Quezon,Candelaria,1
IV-A (CALABARZON),Quezon,Catanauan,0
IV-A (CALABARZON),Quezon,Dolores,1
IV-A (CALABARZON),Quezon,General Luna,0
IV-A (CALABARZON),Quezon,General Nakar,2
IV-A (CALABARZON),Quezon,Guinayangan,1
IV-A (CALABARZON),Quezon,Gumaca,2
IV-A (CALABARZON),Quezon,Infanta,2
IV-A (CALABARZON),Quezon,Jomalig,0
IV-A (CALABARZON),Quezon,Lopez,0
IV-A (CALABARZON),Quezon,Lucban,4
IV-A (CALABARZON),Quezon,Lucena City (Capital),1
IV-A (CALABARZON),Quezon,Macalelon,0
IV-A (CALABARZON),Quezon,Mauban,1
IV-A (CALABARZON),Quezon,Mulanay,1
IV-A (CALABARZON),Quezon,Padre Burgos,0
IV-A (CALABARZON),Quezon,Pagbilao,1
IV-A (CALABARZON),Quezon,Panukulan,0
IV-A (CALABARZON),Quezon,Perez,0
IV-A (CALABARZON),Quezon,Pitogo,0
IV-A (CALABARZON),Quezon,Plaridel,0
IV-A (CALABARZON),Quezon,Polillo,1
IV-A (CALABARZON),Quezon,Quezon,0
IV-A (CALABARZON),Quezon,Real,0
IV-A (CALABARZON),Quezon,Sampaloc,0
IV-A (CALABARZON),Quezon,San Andres,0
IV-A (CALABARZON),Quezon,San Antonio,1
IV-A (CALABARZON),Quezon,San Francisco (Aurora),0
IV-A (CALABARZON),Quezon,San Narciso,0
IV-A (CALABARZON),Quezon,Sariaya,2
IV-A (CALABARZON),Quezon,Tagkawayan,0
IV-A (CALABARZON),Quezon,Tayabas,2
IV-A (CALABARZON),Quezon,Tiaong,1
IV-A (CALABARZON),Quezon,Unisan,0
IV-A (CALABARZON),Quezon,Total Quezon,26
IV-A (CALABARZON),Rizal,Angono,2
IV-A (CALABARZON),Rizal,City of Antipolo,16
IV-A (CALABARZON),Rizal,Baras,0
IV-A (CALABARZON),Rizal,Binangonan,8
IV-A (CALABARZON),Rizal,Cainta,5
IV-A (CALABARZON),Rizal,Cardona,0
IV-A (CALABARZON),Rizal,Jala-Jala,0
IV-A (CALABARZON),Rizal,Rodriguez (Montalban),5
IV-A (CALABARZON),Rizal,Morong,13
IV-A (CALABARZON),Rizal,Pililla,0
IV-A (CALABARZON),Rizal,San Mateo,3
IV-A (CALABARZON),Rizal,Tanay,1
IV-A (CALABARZON),Rizal,Taytay,1
IV-A (CALABARZON),Rizal,Teresa,4
IV-A (CALABARZON),Rizal,Total Rizal,58
IV-A (CALABARZON),No City/Municipality Reported,No City/Municipality Reported,0
IV-A (CALABARZON),Total Calabarzon,Total Calabarzon,256
IV-B (MIMAROPA),Marinduque,Boac (Capital),0
IV-B (MIMAROPA),Marinduque,Buenavista,0
IV-B (MIMAROPA),Marinduque,Gasan,0
IV-B (MIMAROPA),Marinduque,Mogpog,0
IV-B (MIMAROPA),Marinduque,Santa Cruz,0
IV-B (MIMAROPA),Marinduque,Torrijos,1
IV-B (MIMAROPA),Marinduque,Total Marinduque,1
IV-B (MIMAROPA),Occidental Mindoro,Abra De Ilog,1
IV-B (MIMAROPA),Occidental Mindoro,Calintaan,0
IV-B (MIMAROPA),Occidental Mindoro,Looc,0
IV-B (MIMAROPA),Occidental Mindoro,Lubang,0
IV-B (MIMAROPA),Occidental Mindoro,Magsaysay,0
IV-B (MIMAROPA),Occidental Mindoro,Mamburao (Capital),0
IV-B (MIMAROPA),Occidental Mindoro,Paluan,1
IV-B (MIMAROPA),Occidental Mindoro,Rizal,0
IV-B (MIMAROPA),Occidental Mindoro,Sablayan,0
IV-B (MIMAROPA),Occidental Mindoro,San Jose,1
IV-B (MIMAROPA),Occidental Mindoro,Santa Cruz,0
IV-B (MIMAROPA),Occidental Mindoro,Total Occidental Mindoro,3
