description_of_project_1,description_of_project_2,description_of_project_3,location,obligations
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Tabon II 4-K St., Kawit",386530
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Installation of cat's eye (dome type),"Cavtitex Island Cove Road, Kawit",3000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road and asphalt overlay,"Munting Mapino, Naic",2000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of farm to market road,"Muzon-Labac, Naic",1000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Calibuyo, Tanza",3766579
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of provincial roads,-,6999996.59
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of farm to market road,"Kaypaaba Sitio Taktak, Gen. Aguinaldo",2000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of covered pathwalk,"Inmus Pilot ES, Imus",733200
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Bilog, Alfonso",2303750
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay of mendez-Alfonso road,"Esperanza-Pajo Section, Alfonso",1934000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting or Upgrading of pathwalk,"Aliban 2, Bacoor",57977.23
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Upgrading of road,"Digman, Bacoor",1570000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Upgrading of road,"Mabolo II, St Gaudier St.",946205
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road (Phase 2),"Progressive Village, 4,5,6,8,9 Molino, Bacoor",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting or Upgrading of roads,"Talaba VII, Bacoor",834000
